STEAM PLANT							
PRODUCTION LOG SHEET							
Jan-99							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	409 	366 		"2,980 "	"160,595 "	0 	"3,250 "
2	404 	362 		"2,880 "	"123,877 "	0 	"3,100 "
3	394 	353 		"2,460 "	"157,828 "	80 	"3,210 "
4	416 	372 		"3,360 "	"151,794 "	0 	"3,880 "
5	366 	324 		"3,150 "	"223,966 "	70 	"5,930 "
6	386 	344 		"2,780 "	"130,121 "	80 	"5,440 "
7	279 	247 		"2,360 "	"195,554 "	150 	"8,190 "
8	257 	228 		"1,880 "	"160,342 "	100 	"5,790 "
9	256 	227 		"2,360 "	"137,305 "	0 	"6,550 "
10	277 	241 		"1,900 "	"158,878 "	0 	"5,250 "
11	306 	276 		"2,540 "	"162,895 "	140 	"5,220 "
12	235 	205 		"2,190 "	"172,371 "	0 	"15,910 "
13	274 	242 		"2,350 "	"156,069 "	0 	"9,720 "
14	299 	264 		"2,410 "	"314,403 "	0 	"7,640 "
15	287 	253 		"5,200 "	"152,326 "	220 	"9,000 "
16	294 	260 		"2,390 "	"174,890 "	60 	"12,700 "
17	262 	235 		"2,270 "	"165,292 "	370 	"15,820 "
18	235 	209 		"2,260 "	"147,500 "	0 	"18,550 "
19	248 	221 		"2,230 "	"148,959 "	220 	"12,300 "
20	337 	302 		"2,530 "	"160,601 "	0 	"7,130 "
21	315 	284 		"2,610 "	"138,804 "	330 	"10,230 "
22	264 	236 		"2,240 "	"185,420 "	200 	"14,950 "
23	258 	229 		"2,170 "	"160,607 "	0 	"13,380 "
24	277 	248 		"2,330 "	"198,719 "	0 	"11,790 "
25	236 	212 		"1,890 "	"160,192 "	0 	"17,200 "
26	230 	206 		"1,820 "	"138,015 "	0 	"14,100 "
27	284 	253 		"2,270 "	"171,621 "	0 	"8,380 "
28	294 	263 		"2,380 "	"173,219 "	0 	"9,150 "
29	317 	281 		"3,030 "	"109,546 "	0 	"6,210 "
30	318 	282 		"3,480 "	"177,794 "	0 	"6,520 "
							
TOTAL	9014	8025	0	76700	4969503	2020	276490
Feb-99							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	526 	465 	0 	"4,630 "	"157,281 "	100 	
2	525 	462 	0 	"5,230 "	"156,105 "	0 	
3	510 	446 	0 	"6,240 "	"138,683 "	0 	
4	694 	613 	0 	"6,720 "	"161,051 "	270 	
5	547 	477 	0 	"5,830 "	"137,301 "	200 	
6	585 	516 	0 	"5,660 "	"132,423 "	0 	
7	530 	465 	0 	"5,160 "	"140,625 "	250 	
8	474 	415 	0 	"3,970 "	"125,200 "	0 	
9	485 	429 	0 	"3,890 "	"144,486 "	0 	
10	457 	400 	0 	"3,420 "	"135,511 "	350 	
11	564 	491 	0 	"4,180 "	"161,812 "	0 	
12	702 	616 	0 	"6,010 "	"133,785 "	0 	
13	578 	510 	0 	"4,690 "	"129,814 "	340 	
14	511 	452 	0 	"4,040 "	"137,809 "	0 	
15	486 	426 	0 	"4,180 "	"145,536 "	0 	
16	536 	470 	0 	"4,320 "	"160,985 "	0 	
17	610 	536 	0 	"5,270 "	"131,496 "	0 	
18	589 	517 	0 	"5,090 "	"164,810 "	0 	
19	616 	541 	0 	"5,480 "	"149,170 "	0 	
20	572 	506 	0 	"4,990 "	"129,263 "	80 	
21	569 	505 	0 	"5,170 "	"135,370 "	200 	
22	575 	507 	0 	"5,480 "	"161,730 "	0 	
23	547 	482 	0 	"5,180 "	"137,160 "	0 	
24	533 	470 	0 	"4,820 "	"164,940 "	0 	
25	516 	454 	0 	"4,450 "	"150,540 "	230 	
26	494 	433 	0 	"3,960 "	"166,555 "	0 	
27	475 	416 	0 	"3,090 "	"112,833 "	0 	
28	484 	425 	0 	"2,460 "	"131,996 "	0 	
29							
30							
31							
TOTAL	15290	13445	0	133610	4034270	2020	0
Mar-99							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	473 	414 		"2,930 "	"158,649 "	250 	
2	513 	450 		"3,710 "	"135,782 "	0 	
3	558 	493 		"4,320 "	"151,665 "	0 	
4	560 	493 		"4,240 "	"173,402 "	0 	
5	551 	488 		"3,980 "	"137,256 "	0 	
6	603 	537 		"4,050 "	"156,802 "	200 	
7	541 	480 		"3,720 "	"193,440 "	0 	
8	572 	503 		"3,680 "	"161,620 "	0 	
9	547 	481 		"3,170 "	"147,424 "	0 	
