STEAM PLANT PRODUCTION											
January-09											
											
DAY	STEAM        (K LB/HR)	FEED WATER	MAKE-UP WATER (GAL)	XCEL GAS      (MCF)	OIL          (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	HOURS Boiler #1	HOURS Boiler #2	HOURS Boiler #3
1	474		"2,110"	529	0	"5,092"	0	0			
2	682		"2,690"	773	0	"30,691"	0	0			
3	620		"2,700"	703	0	"51,700"	0	0			
4	732		"2,480"	851	0	"81,918"	10	0			
5	664		"3,140"	767	0	"104,092"	10	0			
6	624		"3,850"	706	0	"101,249"	0	0			
7	715		"3,210"	805	0	"89,592"	0	0			
8	750		"3,030"	845	0	"112,540"	10	0			
9	669		"2,940"	762	0	"107,870"	0	0			
10	663		"2,870"	749	0	"81,296"	0	0			
11	656		"2,760"	755	0	"107,374"	10	0			
12	710		"3,500"	862	0	"101,110"	0	0			
13	857		"5,500"	376	"4,484"	"116,574"	10	0			
14	894		"7,270"	0	"6,302"	"132,508"	730	0			
15	984		"6,970"	0	"8,087"	"95,558"	10	0			
16	946		"14,350"	240	"5,590"	"129,953"	10	0			
17	665		"3,190"	749	0	"118,903"	0	0			
18	616		"3,170"	688	0	"66,997"	10	0			
19	670		"3,840"	762	0	"120,698"	10	0			
20	651		"3,750"	723	0	"117,686"	10	0			
21	623		"3,160"	692	0	"97,931"	0	0			
22	624		"3,080"	695	0	"132,650"	10	0			
23	708		"2,810"	827	0	"124,696"	10	0			
24	830		"7,820"	957	0	"97,437"	10	0			
25	"1,248"		"2,520"	904	0	"103,708"	10	0			
26	825		"2,780"	943	0	"127,257"	10	0			
27	772		"5,510"	888	0	"88,727"	10	0			
28	721		"2,750"	828	0	"95,023"	20	0			
29	669		"3,060"	745	0	"119,029"	0	0			
30	727		"3,020"	821	0	"119,997"	20	0			
31	495		"2,290"	555	0	"84,502"	10	0			
February-09											
											
DAY	STEAM        (K LB/HR)	FEED WATER	MAKE-UP WATER (GAL)	XCEL GAS      (MCF)	OIL          (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	HOURS Boiler #1	HOURS Boiler #2	HOURS Boiler #3
1	503		"2,400"	564	0	"109,032"	10	0			
2	707		"2,670"	794	0	"130,712"	10	0			
3	789		"2,520"	921	0	"97,132"	250	0			
4	768		"3,300"	846	0	"91,335"	110	0			
5	611		"2,520"	687	0	"96,950"	50	0			
6	519		"2,550"	581	0	"91,335"	110	0			
7	486		"1,780"	540	0	"88,156"	0	0			
8	501		"1,850"	559	0	"90,780"	10	0			
9	437		"1,670"	487	0	"126,557"	40	0			
10	422		"1,820"	476	0	"82,348"	0	0			
11	470		"1,930"	529	0	"117,516"	10	0			
12	511		"2,000"	677	0	"119,200"	40	0			
13	565		"2,280"	536	0	"113,778"	0	0			
14	587		"2,230"	658	0	"72,615"	100	0			
15	594		"2,100"	661	0	"104,385"	0	0			
16	535		"2,180"	598	0	"87,494"	10	0			
17	474		"2,160"	526	0	"107,823"	0	0			
18	543		"2,380"	607	0	"126,549"	100	0			
19	675		"2,570"	754	0	"61,932"	0	0			
20	603		"2,460"	674	0	"112,752"	0	0			
21	608		"2,200"	673	0	"70,680"	10	0			
22	667		"2,100"	742	0	"99,215"	0	0			
23	658		"2,320"	735	0	"120,075"	0	0			
24	521		"2,120"	563	0	"110,642"	0	0			
25	442		"1,810"	513	0	"98,275"	20	0			
26	539		"3,540"	570	0	"130,429"	0	0			
27	668		"2,500"	748	0	"90,972"	0	0			
28	646		"2,330"	713	0	"113,929"	0	0			
29											
											
March-09											
											
DAY	STEAM        (K LB/HR)	FEED WATER	MAKE-UP WATER (GAL)	XCEL GAS      (MCF)	OIL          (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	HOURS Boiler #1	HOURS Boiler #2	HOURS Boiler #3
1	661		"2,060"	744	0	"191,802"	0	0			
2	630		"2,230"	721	0	"127,280"	0	0			
3	598		"2,230"	682	0	"103,444"	10	0			
4	485		"2,110"	519	0	"100,927"	0	0			
5	404		"1,390"	472	0	"86,518"	10	0			
6	413		"1,640"	461	0	"108,005"	10	0			
7	435		"1,880"	485	0	"87,266"	0	0			
8	429		"1,610"	483	0	"80,650"	0	0			
9	465		"1,650"	519	0	"126,880"	0	0			
10	482		"1,770"	542	0	"105,148"	10	0			
11	759		"2,590"	840	0	"97,722"	0	0			
12	701		"2,220"	794	0	"120,764"	0	0			
13	518		"2,280"	577	0	"85,049"	30	0			
14	415		"1,810"	460	0	"95,390"	10	0			
15	364		"1,650"	393	0	"78,689"	0	0			
16	310		"1,420"	329	0	"73,375"	0	0			
