STEAM PLANT PRODUCTION											
January-10											
											
DATE	STEAM        (K LB)	FEED      WATER	MAKE-UP WATER (GAL)	XCEL GAS      (MCF)	OIL          (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	HOURS Boiler #1	HOURS Boiler #2	HOURS Boiler #3
1	566	654	"3,540"	264	"3,240"	"8,744"	0	0	23	0	24
2	699	853	"4,800"	0	"6,346"	"62,736"	0	0	24		24
3	745	919	"5,170"	0	"6,816"	"60,329"	10	0	24		24
4	765	890	"4,940"	0	"7,035"	"112,364"	10	0	24		24
5	700	867	"5,410"	0	"6,783"	"79,905"	0	0	24		24
6	678	758	"3,500"	527	"2,270"	"128,358"	50	0	24		24
7	655	696	"2,430"	802	0	"111,984"	10	0	24		24
8	712	741	"2,800"	862	0	"88,939"	10	0	24		24
9	737	762	"2,380"	891	0	"93,479"	30	0	24		24
10	640	694	"2,610"	766	0	"104,093"	0	0	24		24
11	607	735	"2,670"	718	0	"125,566"	10	0	8		24
12	605	765	"2,680"	704	0	"79,816"	0	0			24
13	524	671	"3,280"	619	0	"136,222"	10	0			24
14	501	645	"3,110"	597	0	"127,937"	20	0			24
15	479	619	"2,580"	567	0	"109,827"	0	0			24
16	450	574	"1,890"	534	0	"89,678"	10	0			24
17	440	564	"1,910"	525	0	"101,516"	0	0			24
18	506	648	"2,630"	606	0	"136,841"	20	0			24
19	544	693	"2,710"	653	0	"90,667"	10	0			24
20	514	660	"2,610"	615	0	"126,794"	10	0			24
21	444	567	"2,350"	529	0	"108,338"	10	0			24
22	431	556	"2,340"	514	0	"111,829"	10	0			24
23	391	504	"2,160"	467	0	"98,827"	10	0			24
24	396	508	"1,990"	472	0	"62,973"	0	0			24
25	502	640	"2,720"	600	0	"137,815"	40	0			24
26	620	774	"3,130"	759	0	"117,118"	0	0	2		24
27	661	838	"4,080"	788	0	"85,711"	10	0			24
28	707	874	"4,180"	861	0	"107,614"	10	0	9		24
29	701	884	"4,440"	847	0	"103,865"	10	0	13.25		24
30	615	774	"2,370"	731	0	"96,404"	0	0			24
31	638	803	"2,880"	764	0	"124,675"	10	0			24
February-10											
											
DATE	STEAM        (K LB)	FEED      WATER	MAKE-UP WATER (GAL)	XCEL GAS      (MCF)	OIL          (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	HOURS Boiler #1	HOURS Boiler #2	HOURS Boiler #3
1	599	763	"3,520"	715	0	"117,571"	10	0			24
2	601	772	"3,510"	718	0	"114,466"	10	0			24
3	581	760	"5,000"	692	0	"105,110"	10	0			24
4	490	644	"4,040"	584	0	"148,211"	10	0			24
5	450	574	"2,010"	536	0	"83,064"	0	0			24
6	473	609	"2,730"	567	0	"116,970"	10	0			24
