BuildingName	Type
216 College St. (Reynolds)	academic
217 College St. (Reynolds)	administration
605 Three Oaks Drive (Art Studios) 	academic
606 Three Oaks Drive (Art Studios) 	administration
Alumni Guest House/Johnson House	academic
Alumni Guest House/Johnson House	administration
Arboretum Office 	academic
Arboretum Office 	administration
Arts Union	academic
Arts Union	administration
Bird House	academic
Bird House	administration
Boliou Memorial Art Bldg.	academic
Boliou Memorial Art Bldg.	administration
Center for Mathematics and Computing	academic
Center for Mathematics and Computing	administration
Facilities Building/ Steam Plant	academic
Facilities Building/ Steam Plant	administration
Goodsell Observatory	academic
Goodsell Observatory	administration
Gould Memorial Library	academic
Gould Memorial Library	administration
Henrickson House	academic
Henrickson House	administration
Henry House	academic
Henry House	administration
Hoppin House (Alumni)	academic
Hoppin House (Alumni)	administration
Hulings Hall	academic
Hulings Hall	administration
Laird Hall	academic
Laird Hall	administration
Language & Dining Center	academic
Language & Dining Center	administration
Leighton Hall	academic
Leighton Hall	administration
Mudd Hall of Science	academic
Mudd Hall of Science	administration
Music and Drama Center	academic
Music and Drama Center	administration
Music Hall	academic
Music Hall	administration
Olin Hall of Science	academic
Olin Hall of Science	administration
Sayles-Hill Campus Center	academic
Sayles-Hill Campus Center	administration
Scoville Hall	academic
Scoville Hall	administration
Strong House	academic
Strong House	administration
Willis Memorial Hall	academic
Willis Memorial Hall	administration
Laird Stadium	athletic
Recreation Center	athletic
West Gymnasium	athletic
208 Union (Christensen)	residential
210 Winona St. (Holmquist)	residential
Allen House	residential
Benton House	residential
Berg House	residential
Brooks House	residential
Burton Hall	residential
Cassat Hall	residential
Chaney House	residential
Clader House	residential
Collier House	residential
Colwell House	residential
Dacie Moses House	residential
Davis Hall	residential
Dixon House	residential
Douglas House	residential
Dow House	residential
Eugster House	residential
Evans Hall	residential
Faculty Club 	residential
Faculty Club Annex	residential
Farm House	residential
Geffert House	residential
Goodhue Hall	residential
Hall House	residential
Headley Cottage	residential
Headley House	residential
Hill House	residential
Hilton House	residential
Hunt Cottage	residential
Hunt House	residential
Huntington House	residential
Jewett House	residential
Jones House	residential
Memorial Hall	residential
Musser Hall	residential
Myers Hall	residential
Nason House	residential
Nourse Hall	residential
Nutting House	residential
Olin House	residential
Owens House	residential
Page House	residential
Parish House	residential
Parr House	residential
Pollock House	residential
Prentice House	residential
Rayment House	residential
Rice House	residential
Rogers House	residential
Ryberg House	residential
Scott House	residential
Seccombe House	residential
Severance Hall	residential
Sperry House	residential
Stimson House	residential
Watson Hall	residential
Whittier House	residential
Williams House	residential
Wilson House	residential
Grounds Building	other
College Warehouse	other
College Storage Garage	other
Prairie Warehouse	other
Stawbale Warehouse	other
Arboretum Office	campus utility
Boliou Memorial Art Bldg.	campus utility
Burton Hall	campus utility
Cassat Hall	campus utility
Center for Mathematics & Computing	campus utility
Collier House	campus utility
Colwell House	campus utility
Cowling Recreation Center	campus utility
Davis Hall	campus utility
Dixon House	campus utility
Dow House	campus utility
Eugster House	campus utility
Evans Hall	campus utility
Facilities Building/ Steam Plant	campus utility
Faculty Club 	campus utility
Faculty Club Annex	campus utility
Goodhue Hall	campus utility
Goodsell Observatory	campus utility
Hall House	campus utility
Hulings Hall	campus utility
Laird Hall	campus utility
Laird Stadium	campus utility
Language & Dining Center	campus utility
Leighton Hall	campus utility
Memorial Hall	campus utility
Mudd Hall of Science	campus utility
Music and Drama Center	campus utility
Music Hall	campus utility
Musser Hall	campus utility
Myers Hall	campus utility
Nason House	campus utility
Nourse Hall	campus utility
Olin Hall of Science	campus utility
Recreation Center	campus utility
Sayles-Hill	campus utility
Scoville Hall	campus utility
Severance Hall	campus utility
Skinner Memorial Chapel	campus utility
Watson Hall	campus utility
West Gym	campus utility
Willis Memorial Hall	campus utility
