BuildingName	Type	StreetAddress	City	State	Country	ZIP	YearBuilt
216 College St. (Reynolds)	"academic,administration"	216 College St.	Northfield	MN	USA	55057	1894
605 Three Oaks Drive (Art Studios) 	"academic,administration"	605 Three Oaks Drive	Northfield	MN	USA	55057	2010
Alumni Guest House/Johnson House	"academic,administration"	100 College St. So.	Northfield	MN	USA	55057	1992
Arboretum Office 	"academic,administration"	710 Three Oaks Drive	Northfield	MN	USA	55057	1989
Arts Union	"academic,administration"	320 Third Street   	Northfield	MN	USA	55057	1910
Bird House	"academic,administration"	400 E. 1st St.	Northfield	MN	USA	55057	1920
Boliou Memorial Art Bldg.	"academic,administration"	510 Lyman Drive/509 Goodsell Circle	Northfield	MN	USA	55057	1950
Center for Mathematics and Computing	"academic,administration"	505 Goodsell Circle	Northfield	MN	USA	55057	1993
Facilities Building/ Steam Plant	"academic,administration"	301 Union St. N./ 300 Division St. N.	Northfield	MN	USA	55057	1910
Goodsell Observatory	"academic,administration"	301 Goodsell Circle	Northfield	MN	USA	55057	1888
Gould Memorial Library	"academic,administration"	405 Gould Lane	Northfield	MN	USA	55057	1956
Henrickson House	"academic,administration"	205 E. 2nd St.	Northfield	MN	USA	55057	1900
Henry House	"academic,administration"	107 Union St.	Northfield	MN	USA	55057	1915
Hoppin House (Alumni)	"academic,administration"	100 Winona &420 E. 1st St.	Northfield	MN	USA	55057	1885
Hulings Hall	"academic,administration"	208 Winona St. No.	Northfield	MN	USA	55057	1995
Laird Hall	"academic,administration"	301 Winona St. No.	Northfield	MN	USA	55057	1921
Language & Dining Center	"academic,administration"	206 Maple St. No.	Northfield	MN	USA	55057	2001
Leighton Hall	"academic,administration"	302 College St. No.	Northfield	MN	USA	55057	1921
Mudd Hall of Science	"academic,administration"	200 Nevada St. No.	Northfield	MN	USA	55057	1975
Music and Drama Center	"academic,administration"	109 Nevada St. No./110 Winona St. No.	Northfield	MN	USA	55057	1971
Music Hall	"academic,administration"	214 Winona St. No.	Northfield	MN	USA	55057	1915
Olin Hall of Science	"academic,administration"	215 Goodsell Circle	Northfield	MN	USA	55057	1961
Sayles-Hill Campus Center	"academic,administration"	209 College St. No.	Northfield	MN	USA	55057	1911
Scoville Hall	"academic,administration"	105 College St. No.	Northfield	MN	USA	55057	1897
Strong House	"academic,administration"	118 College St.	Northfield	MN	USA	55057	1900
Willis Memorial Hall	"academic,administration"	201 College St. No.	Northfield	MN	USA	55057	1872
Laird Stadium	athletic	215 Division St. No.	Northfield	MN	USA	55057	1928
Recreation Center	athletic	705 Three Oaks Drive	Northfield	MN	USA	55057	2000
West Gymnasium	athletic	321 Division St. No.	Northfield	MN	USA	55057	1965
208 Union (Christensen)	residential	208 Union St. 	Northfield	MN	USA	55057	1941
210 Winona St. (Holmquist)	residential	210 Winona St.	Northfield	MN	USA	55057	1917
Allen House	residential	111 N. Division St.	Northfield	MN	USA	55057	1922
Benton House	residential	118 Winona St.	Northfield	MN	USA	55057	1889
Berg House	residential	112 Union St.	Northfield	MN	USA	55057	1950
