STEAM PLANT PRODUCTION							
January-01							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	729	644		3400	79108		
2	843	736		5410	88440		
3	749	653		4510	121368		
4	622	540		3690	159522		
5	681	594		5270	138678		
6	598	523		4310	131606		
7	684	601		4730	112126		
8	767	677		5340	149669		
9	780	686		5540	144711		
10	628	555		4510	145975		
11	677	599		4950	177412		
12	612	541		4350	127242		
13	586	519		3930	126952		
14	568	505		3500	126820		
15	693	615		4110	161995		
16	736	650		3800	147341		
17	783	690		3960	145770	80	
18	701	617		3410	142001		
19	907	795		4440	143434		
20	857	750		4030	118062		
21	842	739		3530	140843		
22	756	667		3710	144808		
23	714	629		5100	145414		
24	811	713		5380	176050		
25	820	721		5270	122358		
26	717	631		4290	165623	10	
27	755	669		3950	130634	10	
28	739	654		3600	133191		
29	697	613		3330	143868	10	
30	602	526		3140	150043		
31	666	587		3250	168679	10	
TOTAL	22320	19639	0	131740	4309743	120	0
February-01							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	959	836		5550	154632		
2	981	863		4650	146834		
3	749	657		2630	139655		
4	661	586		3160	111339		
5	679	596		3190	145296	10	
6	714	629		4130	159174		
7	729	642		3800	134070	10	
8	681	602		3140	142154		
9	650	578		4900	150695	10	
10	907	795		4080	131340		
11	834	730		4060	145608	10	
12	719	635		4530	145174	10	
13	720	637		4030	147898		
14	808	710		5040	144218		
15	779	687		5170	143050		
16	870	769		5500	149924		
17	900	799		5280	140877		
18	777	683		4320	141904		
19	715	626		4710	139449	30	
20	749	667		9730	145362		
21	813	719		5740	154389	10	
22	807	707		4320	162328		
23	798	702		4660	142516		
24	601	531		2450	142471		
25	648	572		2470	133768	10	
26	775	688		3790	145045		
27	925	801		4490	170459	10	
28	845	742		4710	150032		
29	636	568		4410	117795	10	
30							
31							
TOTAL	22429	19757	0	128640	4177456	120	0
March-01							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	700	554		3970	147705		
2	610	542		3530	143492		
3	572	511		2870	138592		
4	633	568		3440	118393	10	
5	693	618		3920	179688		
6	657	585		4090	142211		
7	634	562		3960	152085	10	
8	639	567		4020	148614		
9	700	621		3960	140080		
10	551	490		2760	150251		
11	607	542		3150	122924		
12	595	523		3140	143564	10	
13	587	518		3150	170443	10	
14	529	467		2910	139671		
15	504	447		3180	97658		
16	446	397		2950	33184		
17	436	388		2490	31203		
18	437	390		2210	13518		
19	359	330		2480	45433		
20	403	352		3030	51103	10	
21	402	351		2520	61349		
22	430	378		2760	24362		
23	493	437		3530	70169	10	
24	578	515		3770	35881		
25	692	615		4660	92191		
26	722	637		4640	170263		
27	636	568		4410	117795	10	
28	569	500		3430	153048		
29	553	486		3300	158029	10	
30	519	461		3110	61331	960	
31	510	445		2780	city water	10	
TOTAL	17396	15365	0	104120	3254230	1050	0
April-01							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	488	428		2750	city water		
2	508	446		2870	114368		
3	513	453		2860	143394	110	
4	469	415		2500	152796		
5	475	414		2520	131320		
6	448	391		1900	148447	10	
7	407	349		1530	157620	10	
8	413	357		1800	147158	10	
9	489	423		2130	122040	30	
10	396	342		1520	187612	30	
11	391	334		1710	166048	20	
12	456	394		1480	164082	20	
13	436	381		2000	157852	30	
14	368	317		1920	122890	10	
15	425	371		2010	124242	20	
16	588	517		3130	158986	20	
17	512	455		3250	161236	30	
18	459	402		2750	144118	10	
19	364	316		1980	206430	1000	
20	305	256		4120	144413	2220	8540
21	334	290		1240	145054		2870
22	407	366		1350	143550	10	2170
23	435	403		2640	146994	1260	3340
24	403	367		2220	177278	90	3810
25	350	312		2020	148783	30	10470
26	313	277		2840	188724	10	16290
27	316	281		2060	204028	10	16300
28	268	236		1790	143588		18430
29	252	222		1470	144500		23520
30	244	215		1130	160404	10	17720
31							
TOTAL	12232	10730	0	65490	4457955	5000	123460
May-01							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	236	209		1120	170862	10	22770
2	255	227		1000	175067		9710
3	295	264		800	160782		5720
4	272	242		1290	201890	10	6390
5	271	242		1960	143319		2800
6	237	211		1930	142837		8460
7	295	262		2410	144800	100	10550
8	280	248		2570	161102	200	15260
9	257	226		2050	178773	70	25260
10	240	212		2100	184504	20	17430
11	288	255		2500	170527	20	10510
12	277	244		2380	143545	10	11960
13	235	208		2360	148505	10	14770
14	225	195		2360	201187	70	35820
15	204	176		2190	219893	80	49600
16	217	189		2090	205162	30	28670
17	228	199		2310	147145		27960
18	248	218		2360	204318	10	35370
19	217	190		2170	142864		25670
20	222	195		2030	165791		12790
21	309	274		1560	160215	10	10130
22	388	344		1670	185581		9170
23	403	355		2450	186239		7210
24	301	326		2380	187007	10	7650
25	346	303		2130	197753	10	7030
26	317	276		2100	144135	10	7090
27	314	275		2120	145544	10	8980
28	285	251		2100	146292	30	15290
29	264	232		1760	175530	30	16760
30	260	229		1980	150283	10	17130
31	268	236		1860	186112		12560
TOTAL	8454	7513	0	62090	5277564	760	496470
June-01							
							
