Day,Month,Year,DomWater,MakeUpWater,LoopWater,TowerWater,Remainder
1,1,2001,79108,3400,0,0,75708
2,1,2001,88440,5410,0,0,83030
3,1,2001,121368,4510,0,0,116858
4,1,2001,159522,3690,0,0,155832
5,1,2001,138678,5270,0,0,133408
6,1,2001,131606,4310,0,0,127296
7,1,2001,112126,4730,0,0,107396
8,1,2001,149669,5340,0,0,144329
9,1,2001,144711,5540,0,0,139171
10,1,2001,145975,4510,0,0,141465
11,1,2001,177412,4950,0,0,172462
12,1,2001,127242,4350,0,0,122892
13,1,2001,126952,3930,0,0,123022
14,1,2001,126820,3500,0,0,123320
15,1,2001,161995,4110,0,0,157885
16,1,2001,147341,3800,0,0,143541
17,1,2001,145770,3960,80,0,141730
18,1,2001,142001,3410,0,0,138591
19,1,2001,143434,4440,0,0,138994
20,1,2001,118062,4030,0,0,114032
21,1,2001,140843,3530,0,0,137313
22,1,2001,144808,3710,0,0,141098
23,1,2001,145414,5100,0,0,140314
24,1,2001,176050,5380,0,0,170670
25,1,2001,122358,5270,0,0,117088
26,1,2001,165623,4290,10,0,161323
27,1,2001,130634,3950,10,0,126674
28,1,2001,133191,3600,0,0,129591
29,1,2001,143868,3330,10,0,140528
30,1,2001,150043,3140,0,0,146903
31,1,2001,168679,3250,10,0,165419
1,2,2001,154632,5550,0,0,149082
2,2,2001,146834,4650,0,0,142184
3,2,2001,139655,2630,0,0,137025
4,2,2001,111339,3160,0,0,108179
5,2,2001,145296,3190,10,0,142096
6,2,2001,159174,4130,0,0,155044
7,2,2001,134070,3800,10,0,130260
8,2,2001,142154,3140,0,0,139014
9,2,2001,150695,4900,10,0,145785
10,2,2001,131340,4080,0,0,127260
11,2,2001,145608,4060,10,0,141538
12,2,2001,145174,4530,10,0,140634
13,2,2001,147898,4030,0,0,143868
14,2,2001,144218,5040,0,0,139178
15,2,2001,143050,5170,0,0,137880
16,2,2001,149924,5500,0,0,144424
17,2,2001,140877,5280,0,0,135597
18,2,2001,141904,4320,0,0,137584
19,2,2001,139449,4710,30,0,134709
20,2,2001,145362,9730,0,0,135632
21,2,2001,154389,5740,10,0,148639
22,2,2001,162328,4320,0,0,158008
23,2,2001,142516,4660,0,0,137856
24,2,2001,142471,2450,0,0,140021
25,2,2001,133768,2470,10,0,131288
26,2,2001,145045,3790,0,0,141255
27,2,2001,170459,4490,10,0,165959
28,2,2001,150032,4710,0,0,145322
29,2,2001,117795,4410,10,0,113375
1,3,2001,147705,3970,0,0,143735
2,3,2001,143492,3530,0,0,139962
3,3,2001,138592,2870,0,0,135722
4,3,2001,118393,3440,10,0,114943
5,3,2001,179688,3920,0,0,175768
6,3,2001,142211,4090,0,0,138121
7,3,2001,152085,3960,10,0,148115
8,3,2001,148614,4020,0,0,144594
9,3,2001,140080,3960,0,0,136120
10,3,2001,150251,2760,0,0,147491
11,3,2001,122924,3150,0,0,119774
12,3,2001,143564,3140,10,0,140414
13,3,2001,170443,3150,10,0,167283
14,3,2001,139671,2910,0,0,136761
15,3,2001,97658,3180,0,0,94478
16,3,2001,33184,2950,0,0,30234
17,3,2001,31203,2490,0,0,28713
18,3,2001,13518,2210,0,0,11308
19,3,2001,45433,2480,0,0,42953
20,3,2001,51103,3030,10,0,48063
21,3,2001,61349,2520,0,0,58829
22,3,2001,24362,2760,0,0,21602
23,3,2001,70169,3530,10,0,66629
24,3,2001,35881,3770,0,0,32111
25,3,2001,92191,4660,0,0,87531
26,3,2001,170263,4640,0,0,165623
27,3,2001,117795,4410,10,0,113375
28,3,2001,153048,3430,0,0,149618
29,3,2001,158029,3300,10,0,154719
30,3,2001,61331,3110,960,0,57261
31,3,2001, city water ,2780,10,0,-2790
1,4,2001, city water ,2750,0,0,-2750
2,4,2001,114368,2870,0,0,111498
3,4,2001,143394,2860,110,0,140424
4,4,2001,152796,2500,0,0,150296
5,4,2001,131320,2520,0,0,128800
6,4,2001,148447,1900,10,0,146537
7,4,2001,157620,1530,10,0,156080
8,4,2001,147158,1800,10,0,145348
9,4,2001,122040,2130,30,0,119880
10,4,2001,187612,1520,30,0,186062
11,4,2001,166048,1710,20,0,164318
12,4,2001,164082,1480,20,0,162582
13,4,2001,157852,2000,30,0,155822
14,4,2001,122890,1920,10,0,120960
15,4,2001,124242,2010,20,0,122212
16,4,2001,158986,3130,20,0,155836
17,4,2001,161236,3250,30,0,157956
18,4,2001,144118,2750,10,0,141358
19,4,2001,206430,1980,1000,0,203450
20,4,2001,144413,4120,2220,0,138073
21,4,2001,145054,1240,0,0,143814
22,4,2001,143550,1350,10,0,142190
23,4,2001,146994,2640,1260,0,143094
24,4,2001,177278,2220,90,0,174968
25,4,2001,148783,2020,30,0,146733
26,4,2001,188724,2840,10,0,185874
27,4,2001,204028,2060,10,0,201958
28,4,2001,143588,1790,0,0,141798
29,4,2001,144500,1470,0,0,143030
30,4,2001,160404,1130,10,0,159264
1,5,2001,170862,1120,10,0,169732
2,5,2001,175067,1000,0,0,174067
3,5,2001,160782,800,0,0,159982
4,5,2001,201890,1290,10,0,200590
5,5,2001,143319,1960,0,0,141359
6,5,2001,142837,1930,0,0,140907
7,5,2001,144800,2410,100,0,142290
8,5,2001,161102,2570,200,0,158332
9,5,2001,178773,2050,70,0,176653
10,5,2001,184504,2100,20,0,182384
11,5,2001,170527,2500,20,0,168007
12,5,2001,143545,2380,10,0,141155
13,5,2001,148505,2360,10,0,146135
14,5,2001,201187,2360,70,0,198757
15,5,2001,219893,2190,80,0,217623
16,5,2001,205162,2090,30,0,203042
17,5,2001,147145,2310,0,0,144835
18,5,2001,204318,2360,10,0,201948
19,5,2001,142864,2170,0,0,140694
20,5,2001,165791,2030,0,0,163761
21,5,2001,160215,1560,10,0,158645
22,5,2001,185581,1670,0,0,183911
23,5,2001,186239,2450,0,0,183789
24,5,2001,187007,2380,10,0,184617
25,5,2001,197753,2130,10,0,195613
26,5,2001,144135,2100,10,0,142025
27,5,2001,145544,2120,10,0,143414
28,5,2001,146292,2100,30,0,144162
29,5,2001,175530,1760,30,0,173740
30,5,2001,150283,1980,10,0,148293
31,5,2001,186112,1860,0,0,184252
