Carleton College Wind Turbine #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourly Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,"kW,min","kW,avg","kW,max","Wind,min","Wind,avg","Wind,max","Voltage,min","Voltage,avg","Voltage,max","Current,min","Current,avg","Current,max","Amb. Temp,min","Amb. Temp,avg","Amb. Temp,max","Gen. Temp,min","Gen. Temp,avg","Gen. Temp,max","Gear Temp,min","Gear Temp,avg","Gear Temp,max","Rotor RPM,min","Rotor RPM,avg","Rotor RPM,max","Gen. RPM,min","Gen. RPM,avg","Gen. RPM,max",Production,Grid time,OK time,Alarm time,Yaw CW time,Yaw CCW time,Notes
1/11/12 7:00,30.7,184.7,354.3,4.2,5.7,7.1,352,353,354,119,203,337,4,4,4,40,41,42,49,50,50,14,14,14,1200,1201,1202,170,0.9,0.9,0,0,0,
1/11/12 6:00,308.6,365.2,448.4,6.7,7.1,7.7,353,355,359,296,347,425,4,4,5,42,43,44,50,50,51,14,14,14,1201,1202,1202,365,1,1,0,0.1,0,
1/11/12 5:00,334.3,452.4,546.7,6.8,7.8,8.4,355,356,359,319,429,514,5,5,6,44,45,46,50,51,51,14,14,14,1201,1202,1203,453,1,1,0,0,0,
1/11/12 4:00,456.3,566,680.2,7.7,8.4,9,356,357,358,434,534,637,5,5,6,46,47,48,51,52,52,14,14,14,1202,1203,1204,566,1,1,0,0,0,
1/11/12 3:00,471.4,648.8,897.5,8,8.7,9.6,355,357,358,448,611,847,5,6,6,48,49,51,52,53,53,14,14,14,1202,1203,1205,649,1,1,0,0,0,
1/11/12 2:00,489.2,735.9,960.7,7.8,9,9.9,356,358,360,459,691,904,5,6,6,48,49,50,52,52,53,14,14,14,1202,1204,1206,735,1,1,0,0,0,
1/11/12 1:00,419.4,624.9,778.3,7.4,8.6,9.3,355,357,359,392,585,727,5,6,6,50,51,53,51,52,52,14,14,14,1201,1203,1205,625,1,1,0,0,0.1,
1/11/12 0:00,364.7,572.6,916.7,7.1,8.2,9.6,355,357,358,344,535,859,6,7,7,53,57,62,51,52,53,14,14,14,1201,1203,1206,573,1,1,0,0,0,
1/10/12 23:00,736.1,1039.1,1210.6,9,10.2,10.9,355,356,358,689,974,1138,7,7,7,62,65,66,53,54,55,14,14,14,1204,1206,1208,1039,1,1,0,0,0,
1/10/12 22:00,990.3,1158.2,1254.8,10,10.7,11.1,354,356,358,919,1084,1172,7,8,8,64,66,66,54,55,55,14,14,14,1206,1207,1208,1158,1,1,0,0,0,
