2011        Building / Department	2010/12	2011/1	2011/2	2011/3	2011/4	2011/5	2011/6	2011/7	2011/8	2011/9
Facilites - Building	0.089	0.076	0.09	0.088	0.089	0.06	0.063	0.07	0.062	0.106
Facilities - Mezz. Maint. & Weld Shop	80	27	32	32	148	141	159	148	124	152
Facilities - Steam Plant #1	163	159	142	100	158	185	241	62	136	139
Facilities - Steam Plant #2	2277	1920	1967	1677	2154	1883	915	2884	1620	2184
"Facilities - Carp, Pnt, Gls Shops"	130	112	111	78	61	36	47	46	43	88
Facilities - Womens RR 	52	46	48	38	59	50	46	53	47	68
Facilities - Serv & Strs 	27	18	41	39	21	50	-10234	210	41	47
Facilities - Old Chiller 	0	0	0	361	51	0	0	0	0	209
Leighton Hall	0.028	0.023	0.023	0.02	0.029	0.026	0.022	0.023	0.023	0.026
Gould Memorial Library	0.052	0.042	0.048	0.044	0.061	0.039	0.03	0.031	0.044	0.054
Center for Mathematics and Computing	128467	114732	109564	93243	143613	109334	80198	97663	102458	127218
Laird Hall 	16.3	14.1	13.8	12.1	18.8	17.2	13.8	14.8	13.5	15.1
Goodsell Observatory	2.89	2.57	2.45	2.22	3.36	2.73	3.03	3.1	3.35	3.93
Boliou Hall #1	22.9	22.2	17.2	17.1	27.6	14.6	10.2	12.3	16.1	24.9
Boliou Hall #2	157	151	116	118	194	97	67	86	117	179
Olin Hall of Science	NO DATA	49428.09	43434.08	42802.94	57852.94	46695.88	35587.9	49741.29	47240.69	64277.53
Hulings Hall	NO DATA	114181.94	109279.39	99077.1	143664.06	126043.21	96340.68	126043.24	98690.62	NO DATA
Music Hall	63	58	50	57	83	61	64	75	53	89
Music & Drama Center	46.276	45.412	31.223	-980.46	0.057	0.027	0.022	0.025	0.023	0.028
Campus & Tunnel Lighting	151	208	-26	37	47	38	30	44	39	60
Mudd Hall of Science	NO DATA	54115.24	56126.75	47895.56	67952.04	55772.45	50525.3	47272.89	47707.53	62481.86
Nourse Hall	NO DATA	19182.25	15600.5	14390.65	19227.25	17704.05	14020.65	12726.87	15655.18	19977.63
Language & Dining Center	81460	82839	67596	69430	101230	66026	62178	74093	73609	94297
Cassat Hall	39.794	39.178	31.298	25.899	36.008	26.422	20.33	23.729	30.54	31.728
Memorial Hall	-11.057	25.04	18.178	14.59	20.129	17.046	12.375	12.446	15.404	14.699
Myers Hall	0.021	0.021	0.02	0.017	0.022	0.016	0.013	0.016	0.018	0.025
Evans Hall	NO DATA	9591.97	8132.78	8481.86	70.15	20259.76	6158.78	6877.26	9773.37	10938.8
Cowling Recreation Center	0.026	0.022	0.021	0.018	0.025	0.019	0.015	0.021	0.024	0.022
Watson Hall	0.025	0.024	0.022	0.023	0.03	0.023	0.023	0.023	0.024	0.025
Faculty Club 	463	247	308	259	375	286	359	-9689	414	401
Skinner Memorial Chapel	19.515	16.001	11.231	10.296	15.623	14.897	10.003	13.087	14.214	12.839
Scoville Hall	5.694	5.813	4.631	4.251	5.461	5.391	2.345	3.02	2.577	2.096
Willis Hall	8.554	8.66	6.691	6.926	10.426	-271.537	8.273	9.337	8.629	8.271
Sayles-Hill Campus Center	0.051	0.045	0.041	0.039	0.057	0.041	0.029	0.044	0.046	0.052
Burton Dining Hall	NO DATA	30494.89	21375.88	21623.73	38270.9	17901.16	9095.03	14012.57	28025.49	39265.75
Severance Hall	NO DATA	75300.1	52961.89	52380.31	92425.19	50248.88	31960.89	45541.12	66593.9	93853.29
Burton Hall	17.061	12.433	16.54	12.797	16.466	9.375	5.795	9.084	13.491	18.294
Davis Hall	11.935	9.336	12.318	8.814	10.664	7.915	5.907	9.954	8.805	13.754
Musser Hall	NO DATA	21498.13	20352.62	15452.82	23617	22645.25	17411.67	24199.56	18504.52	NO DATA
Laird Stadium	15.01	9.153	12.175	7.381	11.293	16.907	11.181	17.472	12.154	14.215
West Gymnasium	NO DATA	0.035	0.03	0.029	0.041	0.033	0.026	0.03	0.032	0.042
Goodhue Food Service	39	33	25	30	37	29	14	33	26	42
Goodhue Hall	0.029	0.025	0.018	0.021	0.027	0.018	0.011	0.025	0.018	0.031
Recreation Center	102433	80709	74095	50252	64666	37031	32224	56351	41831	67299
Farm House	1467	1643	1316	950	1544	1339	923	1666	1842	1932
Parr House 	36	32	27	19	46	55	44	62	65	75
Grounds Building 	1040	1233	1028	739	1201	1109	929	1404	875	1134
Arboretum Office 	1351	1073	994	665	1204	1870	2011	2113	896	1094
College Warehouse	27.88	19.71	16.87	11.37	14.74	11.3	11.1	15.2	10.3	16.2
Water Tower 	3625	2468	2152	1480	1810	1317	426	882	578	1567
Student Houses	NO DATA	20.893	19.011	14.467	21.235	13.819	11.93	19.211	19.486	26.805
