BuildingName	YearChanged	BuildingSF
216 College St. (Reynolds)	1894	4017
216 College St. (Reynolds)	2007	4017
605 Three Oaks Drive (Art Studios) 	2010	5000
Alumni Guest House/Johnson House	1992	20337
Arboretum Office 	1989	2952
Arboretum Office 	2002	2952
Weitz Center for Creativity	1910	55139
Weitz Center for Creativity	1936	93937
Weitz Center for Creativity	1954	149356
Bird House	1920	4780
Bird House	2001	4780
Boliou Memorial Art Bldg.	1950	21147
Boliou Memorial Art Bldg.	1992	21147
Boliou Memorial Art Bldg.	1995	21147
Center for Mathematics and Computing	1993	42300
Center for Mathematics and Computing	2005	42300
Facilities Building/ Steam Plant	1910	25704
Facilities Building/ Steam Plant	1995	33104
Goodsell Observatory	1888	11981
Goodsell Observatory	2001	11981
Gould Memorial Library	1956	58900
Gould Memorial Library	1983	58900
Gould Memorial Library	2004	58900
Henrickson House	1900	3171
Henrickson House	1988	3171
Henry House	1915	3000
Henry House	1991	3000
Hoppin House (Alumni)	1995	3379
Hoppin House (Alumni)	2003	3379
Hulings Hall	1995	72000
Laird Hall	1921	22625
Language & Dining Center	2001	64000
Leighton Hall	1921	37641
Leighton Hall	1978	37641
Leighton Hall	2004	37641
Mudd Hall of Science	1975	56522
Music and Drama Center	1971	49978
Music Hall	1915	16515
Olin Hall of Science	1961	54899
Olin Hall of Science	1975	54899
Olin Hall of Science	1997	54899
Sayles-Hill Campus Center	1911	31469
Sayles-Hill Campus Center	1979	31469
Sayles-Hill Campus Center	1988	44875
Scoville Hall	1897	14368
Scoville Hall	1956	14368
Strong House	1900	4566
Strong House	2001	4566
Strong House	2003	4566
Willis Memorial Hall	1872	20337
Willis Memorial Hall	1879	20337
Willis Memorial Hall	1954	20337
Willis Memorial Hall	1978	20337
Laird Stadium	1928	50710
Laird Stadium	1968	50710
Laird Stadium	1982	50710
Laird Stadium	1987	50710
Laird Stadium	2010	50710
Recreation Center	2000	90085
West Gymnasium	1965	63534
208 Union (Christensen)	1941	2850
210 Winona St. (Holmquist)	1917	1926
Allen House	1922	6279
Benton House	1889	4555
Berg House	1950	3897
Brooks House	2001	4181
Burton Hall	1916	64420
Burton Hall	1976	64420
Cassat Hall	2009	52160
Chaney House	1900	4634
Clader House	1900	1989
Collier House	2001	3988
Colwell House	2001	3261
Dacie Moses House	1900	4000
Davis Hall	1923	30795
Davis Hall	1986	30795
Dixon House	2001	3154
Douglas House	1950	2950
Dow House	1935	3480
Dow House	2001	3480
Eugster House	2001	5854
Evans Hall	1927	48963
Evans Hall	1974	48963
Evans Hall	1982	48963
Faculty Club 	1900	15100
Faculty Club Annex	1926	2404
Farm House	1919	5681
Geffert House	1920	3180
Goodhue Hall	1963	66691
Goodhue Hall	1995	66691
Goodhue Hall	2003	66691
Hall House	1920	4074
Headley Cottage	1900	1830
Headley House	1900	5257
Headley House	2005	5257
Hill House	1900	9738
Hilton House	1900	1821
Hunt Cottage	1900	2800
Hunt House	2001	3262
Huntington House	1900	5140
Jewett House	1900	7275
Jones House	1920	5739
Memorial Hall	2009	39376
Musser Hall	1958	39787
Musser Hall	2009	39787
Myers Hall	1958	30712
Myers Hall	1960	40412
Nason House	2001	1772
Nourse Hall	1917	36033
Nourse Hall	1992	36033
Nourse Hall	1998	36033
Nutting House	1890	8352
Olin House	1900	1998
Owens House	2001	4297
Page House	1920	5451
Page House	2004	5451
Parish House	1914	17676
Parr House	1919	2284
Pollock House	1920	4730
Prentice House	1921	3197
Rayment House	1900	1440
Rice House	1920	5616
Rogers House	1900	2868
Ryberg House	1952	2931
Scott House	2001	4728
Seccombe House	1900	3468
Severance Hall	1928	43957
Severance Hall	1985	43957
Severance Hall	2003	43957
Sperry House	1900	4429
Stimson House	1938	3886
Watson Hall	1967	53346
Watson Hall	2010	53346
Whittier House	1910	6402
Williams House	1917	2950
Wilson House	1928	2764
Grounds Building	1998	5670
College Warehouse	1999	7200
College Storage Garage	2002	2250
Prairie Warehouse	1950	1950
Stawbale Warehouse	2005	2400
106 Winona St. (Barbour)	1902	2970
212 East 2nd St.	1947	3276
Cowling Recreation Center	1966	30829
Skinner Memorial Chapel	1917	28213
