Steam Plant							
Production Log Sheet							
Aug-96							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	230	143	0	980	72734	30	24550
2	220	136	0	930	102124	0	29670
3	203	127	0	2251	107024	0	28340
4	207	121	0	1150	30596	0	26780
5	199	115	0	710	104490	0	27620
6	186	98	0	670	62430	20	31350
7	196	103	0	850	62117	0	28800
8	316	131	0	1000	78120	0	16570
9	199	142	0	1000	33240	0	17810
10	195	128	0	960	0	0	16800
11	0	0	0	0	0	0	?
12	0	0	0	0	0	0	?
13	0	0	0	0	0	0	10
14	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0
16	76	64	0	2790	164977	0	1440
17	290	183	0	1440	64720	0	200
18	290	198	0	1580	53621	0	100
19	269	166	0	1370	90727	0	80
20	277	172	0	860	71939	0	12910
21	247	153	0	850	93922	0	30810
22	267	165	0	860	107193	0	24980
23	264	163	0	900	98081	0	20870
24	217	133	0	1000	83629	0	17420
25	203	117	0	1420	71180	0	21260
26	224	137	0	3390	107735	0	17790
27	243	177	0	1600	64595	0	16750
28	225	166	0	820	76472	0	17550
29	219	146	0	1540	101170	0	18310
30	227	150	0	930	110277	0	18310
31	218	144		940	56640	0	17280
TOTAL	5907	3678	0	32791	2069753	50	484360
Sep-96							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	211	139	0	950	75708	0	16960
2	199	127	0	940	32505	0	29840
3	209	134	0	900	123177	0	25910
4	208	134	0	960	92344	0	22010
5	209	133	0	930	151800	0	23550
6	232	148	0	2040	141980	0	20990
7	245	159	0	2710	113250	0	17060
8	236	151	0	1950	130800	0	12170
9	311	204	0	1240	148580	0	16700
10	257	169	0	950	199360	0	18440
11	318	208	0	970	173010	0	13650
12	365	238	0	940	171704	40	12870
13	412	271	0	2020	154609	0	11800
14	367	247	0	1960	174937	0	10430
15	290	196	0	1830	140411	0	10630
16	345	228	0	1840	176779	0	12470
17	392	255	0	2010	199338	0	14210
18	372	243	0	2200	205732	0	15040
19	349	228	0	1900	171131	0	9850
20	340	221	0	1760	174763	0	10750
21	384	250	0	2160	186585	0	11170
22	364	238	0	1680	130164	0	10640
23	304	246	0	1120	186479	0	13910
24	304	283	0	6380	215126	40	13860
25	283	261	0	2700	180475	0	2870
26	345	293	0	2670	189937	0	11920
27	357	304	0	3300	165403	0	12630
28	296	253	0	2780	180975	0	11730
29	346	293	0	3750	126868	0	10480
30	282	234	0	5920	203871	0	12030
31							
TOTAL	9132	6488	0	63460	4717801	80	436570
Oct-96							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	2358	196	0	4200	177654	0	12970
2	427	355	0	4610	282828	0	14870
3	442	378	0	3500	158450	0	9660
4	370	309	0	2980	171910	30	8950
5	290	234	0	2790	220540	50	12790
6	290	235	0	2650	296350	0	10300
7	395	337	4	5980	98110	0	9330
8	397	344	0	4160	185880	0	8360
9	400	343	0	3760	170160	0	8370
10	411	362	0	4000	181151	0	6750
11	357	300	0	4840	188961	90	7860
12	306	250	0	4970	163778	0	10930
13	306	250	0	3690	113880	0	9260
14	307	252	0	5440	165078	0	9750
15	291	240	0	3750	187979	0	9750
16	301	247	0	4400	180362	0	11150
17	337	289	0	5490	178228	0	1670
18	386	340	0	5330	167266	0	0
19	332	282	0	2400	132387	0	0
20	307	254	0	1400	130087	0	0
21	339	293	0	1560	142373	0	0
22	402	353	0	2000	173820	0	0
23	388	341	0	1470	149931	0	0
24	422	373	0	3230	175118	0	0
25	331	278	0	3040	167575	0	0
26	263	213	0	2340	135877	0	0
27	375	330	0	2750	145916	0	0
28	387	341	0	3220	183817	0	0
29	180	153	0	2320	156993	0	0
30	501	450	0	6080	152260	0	0
31	521	475	0	3810	155550	0	0
TOTAL	13119	9397	4	112160	5290269	170	162720
Nov-96							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	545	499	0	3970	161520	0	0
2	529	487	0	3140	149050	0	0
3	421	380	0	2440	141711	0	0
4	408	367	0	1930	163748	0	0
5	379	340	0	2070	181800	0	0
6	420	385	0	2700	159045	0	0
7	425	393	0	1890	148139	630	0
8	459	420	0	2040	169585	0	0
9	489	446	0	2030	147025	0	0
10	514	475	0	2210	144495	0	0
11	574	532	0	2810	144706	0	0
12	614	574	0	2740	180613	0	0
13	577	540	0	2510	130277	0	0
14	578	550	0	2530	174730	0	0
15	530	493	0	1810	165603	0	0
16	418	381	0	1140	139268	0	0
17	526	489	0	1770	147056	0	0
18	594	559	0	3600	145524	0	0
19	590	552	0	3530	155563	0	0
20	567	531		3340	163083	0	0
21	554	523	0	3250	158081	0	0
22	558	520	0	3030	144693	0	0
23	526	494	0	2800	128126	0	0
24	581	551	0	2130	41692	0	0
25	360	309	0	2150	24111	0	0
26	374	321	0	2550	37837080	0	0
27	313	261	0	1800	16780	0	0
28	314	266	0	1650	20130	0	0
29	246	195	0	1060	28310	0	0
30	385	340	0	2400	27830	0	0
31							
TOTAL	14368	13173	0	73020	41539374	630	0
