Steam Plant							
Production Log Sheet							
Jan-98							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	432	281	0	1550	26972	0	0
2	428	271	0	1700	56272	0	0
3	516	389	0	2590	38670	0	0
4	531	409	0	2290	110264	120	0
5	528	403	0	2400	154918	0	0
6	516	387	0	2340	141932	0	0
7	539	417	0	2340	162783	0	0
8	545	417	0	3500	175168	0	0
9	674	514	0	4140	154753	0	0
10	783	606	0	5380	148176	0	0
11	746	572	0	3240	155657	0	0
12	385	303	3038	5850	160451	0	0
13			3198	6660	194573	50	0
14	495	0	269	5810	172312	0	0
15	730	636	0	5266	147650	0	0
16	634	551	0	3980	190361	0	0
17	679	595	0	3900	151203	0	0
18	617	541	0	3140	149055	0	0
19	718	634	0	4440	204431	0	0
20	675	598	0	5220	191292	0	0
21	501	530	0	5010	160630	0	0
22	572	501	0	4720	161666	0	0
23	569	498	0	4540	186470	0	0
24	558	490	0	4130	147667	0	0
25	550	482	0	3690	153162	0	0
26	569	499	0	4310	176308	70	0
27	541	475	0	4000	164469	10	0
28	548	477	0	4970	195032	0	0
29	579	505	0	5310	160718	0	0
30	579	504	0	6440	173222	0	0
31	483	419		5430	166971	0	0
TOTAL	17220	13904	6505	128286	4733208	250	0
Feb-98							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	528	457	0	7260	145119	0	0
2	596	515	0	9190	183362	0	0
3	625	541	0	9540	189158	0	0
4	636	547	0	9620	187881	0	0
5	644	553	0	9760	169969	0	0
6	641	552	0	9440	163023	0	0
7	574	498	0	9320	181091	0	0
8	534	460	0	8730	145144	0	0
9	520	448	0	8280	164552	0	0
10	508	436	0	8400	162615	0	0
11	516	443	0	7150	172438	0	0
12	528	455	0	5270	166259	0	0
13	534	458	0	5430	198253	30	0
14	506	435	0	4410	166287	0	0
15	441	376	0	3570	154175	0	0
16	429	387	0	5520	166288	0	0
17	486	413	0	3790	183719	0	0
18	474	403	0	4360	174544	0	0
19	469	399	0	4010	185870	0	0
20	462	392	0	3710	181292	700	0
21	457	388	0	3540	162480	0	0
22	430	365	0	3050	134660	0	0
23	432	363	0	2690	180559	0	0
24	441	371	0	3110	185620	0	0
25	408	339	0	3310	185442	0	0
26	409	339	0	2720	196528	0	0
27	490	409	0	3150	169719	0	0
28	508	428	0	3420	137045	0	0
29							
30							
31							
TOTAL	14226	12170	0	161750	4793092	730	0
Mar-98							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	494	419	0	3200	157711	0	0
2	493	417	0	3470	215911	0	0
3	531	450	0	3810	135684	0	0
4	540	463	0	4610	209835	0	0
5	529	453	0	4080	193457	0	0
6	545	465	0	3990	160311	0	0
7	503	431	0	3520	160990	100	0
8	474	434	0	3400	160178	0	0
9	640	550	0	4960	162630	0	0
10	674	583	0	4840	167507	0	0
11	686	598	0	4600	162983	0	0
12	686	592	0	4360	180892	0	0
13	611	520	0	5370	160609	0	0
14	607	523	0	4290	148909	0	0
15	563	487	0	5680	148007	0	0
16	565	486	0	4730	158035	0	0
17	528	450	0	3890	155265	70	0
18	522	442	0	3900	151761	0	0
19	472	399	0	4040	72630	270	0
20	451	382	0	4050	57730	0	0
21	418	343	0	3620	33370	0	0
22	415	344	0	3150	0	0	0
23	440	368	0	3800	7210	0	0
24	442	358	0	3360	0	0	0
25	343	115	0	2780	0	0	0
26	268	206	0	3150	0	0	0
27	268	208	0	3170	0	0	0
28	301	239	0	1430	0	0	0
29	305	245	0	1360	0	0	0
30	384	314	0	2490	0	0	0
31	463	381	0	5234	0	0	0
TOTAL	15161	12665	0	118334	3161615	440	0
Apr-98							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	461	376	0	5250	0	0	0
2	471	394	0	3520	0	0	0
3	442	362	0	2650	0	70	0
4	399	328	0	3990	0	0	0
5	349	283	0	2390	0	0	0
6	334	275	0	2420	0	80	0
7	359	301	0	2150	0	0	0
8	401	341	0	2120	0	0	0
9	427	367	0	4250	0	770	0
10	399	342	0	3960	0	0	0
11	299	247	0	2770	0	0	0
12	278	224	0	1880	0	0	0
13	288	234	0	1140	0	0	0
14	416	272	0	1770	0	0	0
15	326	351	0	3080	0	350	0
16	435	372	0	3410	0	380	0
17	394	336	0	4690	0	0	0
18	331	278	0	3300	0	0	0
19	350	293	0	2730	0	0	0
20	380	320	0	5870	0	620	0
21	322	280	0	2260	0	0	0
22	284	246	0	3470	0	0	0
23	274	237	0	2570	0	0	11990
24	233	199	0	2670	0	40	15650
25	236	205	0	1380	0	0	8260
26	262	228	0	1400	0	0	6270
27	324	286	0	2440	0	0	6550
28	289	255	0	1810	0	0	8770
29	280	243	0	2910	0	0	10230
30	255	221	0	2170	0	0	15960
31							
TOTAL	10298	8696	0	86420	0	2310	83680
May-98							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	216	187	0	1260	0	0	20660
2	242	212	0	870	0	0	6630
3	217	188	0	1080	0	0	16620
4	213	185	0	1180	0	0	23760
5	222	192	0	1050	0	200	20590
6	212	184	0	1300	0	0	25870
7	236	207	0	1260	0	0	11380
8	253	221	0	1820	0	0	14200
9	212	185	0	1650	0	0	16940
10	216	189	0	2280	0	200	18760
11	202	175	0	2620	0	0	25290
12	212	184	0	2320	0	80	18660
13	211	182	0	3270	0	0	21600
14	186	162	0	2200	0	0	30060
15	188	163	0	2680	0	0	26170
16	195	168	0	3360	0	0	19970
17	183	159	0	2210	0	0	25320
18	173	149	0	1930	0	50	32230
19	182	157	0	2200	0	0	30100
20	194	170	0	2250	0	0	24180
21	200	175	0	2460	0	0	21840
22	204	179	0	2320	0	0	13470
23	197	174	0	2270	0	0	13560
