STEAM PLANT PRODUCTION							
January-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	470	425		1940	20283		
2	478	431		2060	56981	100	
3	450	504	605	3470	75922	260	
4	668	617		5390	112875		
5	649	592		3960	137057	150	
6	642	587		3860	139772		
7	676	621		4200	136271		
8	547	500		2710	149028	210	
9	538	491		2180	157681		
10	530	480		3080	120943		
11	596	604		4160	199266		
12	559	647	984	5660	149884	190	
13	716	656		5110	148325		
14	663	600		8360	148276		
15	547	492		7790	142047	100	
16	686	620		9020	138510		
17	652	587		9040	164354		
18	665	594		8000	148684		
19	740	650		7140	148688	220	
20	1390	181		8470	156950	170	
21	338	337		8710	145454		
22	724	647		7730	148996		
23	783	698		11210	151444	60	
24	760	679		9280	153642		
25	731	656		8470	153233		
26	810	728		10620	168769	100	
27	801	722		8740	140203		
28	763	685		7970	161105	100	
29	680	597		4480	143825		
30	651	550		4150	126113	100	
31	660	537		4600	160892	170	
TOTAL	20563	17715	1589	191560	4305473	1930	0
February-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	623	498		4270	152851		
2	601	471		3960	155504	30	
3	585	450		3420	150469	140	
4	605	478		3710	144511		
5	626	488		3590	124457		
6	555	419		2990	144124		
7	614	481		4090	113774	200	
8	584	448		3830	201070		
9	523	376		3520	151497	30	
10	593	452		3830	148308		
11	721	588		4670	148846	140	
12	716	565		4000	147576		
13	663	476		3410	90945		
14	626	489		3910	204110		
15	597	457		3440	148128		
16	704	568		4740	147809	290	
17	609	482		4210	149085		
18	601	468		4290	162232	80	
19	634	493		4050	154929		
20	580	444		3540	92713		
21	533	386		3250	201826	100	
22	483	325		2500	146554	100	
23	460	291		1930	165314		
24	451	273		2020	107835	70	
25	385	129		1780	113537	170	
26	223	163		2030	129576		
27	449	201		2470	148808		
28	441	144		2410	160503		
29	347	350		3190	164528		
30							
31							
TOTAL	16132	11853	0	99050	4271419	1350	0
March-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	515	406		4290	158769	150	
2	480	436		4300	140734		
3	446	395		4020	158913		
4	384	328		3240	139948	190	
5	335	281		3100	135436		
6	317	264		3100	151263		
7	282	231		2660	153337	190	
8	294	241		2680	163800		
9	529	479		4310	144933		
10	530	492		5200	148840	220	
11	484	448		4210	140492		
12	540	495		4020	145884		
13	503	460		5110	132116		
14	463	410		5500	155740		
15	474	431		5050	146185	200	
16	528	495		6330	79043		
17	481	443		5670	77699	260	
18	438	384		4820	64195		
19	442	386		4890	11064	190	
20	430	375		4780	23394		
21	397	339		4410	33377		
22	362	308		4560	38531		
23	315	261		4240	54622	70	
24	318	262		3520	23593	190	
25	363	309		3080	86179		
26	372	313		3150	99443		
27	467	419		4750	155093	790	
28	473	425		5700	110248		
29	484	432		5470	114341		
30	457	398		6240	184688		
31	419	360		5120	133900	1230	
TOTAL	13322	11706	0	137520	3505800	3680	0
April-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	409	346		6150	123500		
2	396	332		5080	129711		
3	470	421		5680	149918		
4	504	453		7150	152198		
5	415	357		6220	153886		
6	473	418		7450	147850		
7	496	448		6760	170575	360	
8	474	425		7440	141397		
9	412	358		6930	127850		
10	459	404		7400	156853		
11	464	417		6850	160660	300	
12	471	424		6730	169955		
13	374	319		6220	192850		
14	345	309		5480	152561		
15	468	410		4170	117851		
16	505	430		4430	115293		
17	477	420		5420	169691		
18	470	352		5100	203350	110	
19	399	337		4660	135300	50	7040
20	448	400		5180	146324	740	2660
21	422	367		6090	142594		3120
22	320	262		5700	144489		4400
23	312	254		5560	118629		3030
24	326	272		5370	169143	3380	7740
25	326	273		6120	183045	1080	11470
26	312	258		7480	150207		14660
27	272	226		6180	181950		12680
28	313	261		5620	162448		8460
29	337	280		6580	117690		7270
30	297	246		6740	152322		10690
31							
TOTAL	12166	10479	0	181940	4540090	6020	93220
May-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	302	246		6860	147088		13820
2	292	241		6650	203142		17250
3	227	190		6810	195008	7490	26870
4	210	179		5410	181665	450	63300
5	203	176		5530	205683		34260
6	199	174		6010	196808		29840
7	192	166		6650	172827	320	30670
8	229	195		6640	190971		19530
9	267	230		6750	153752		11590
10	300	259		6700	187115	600	7400
11	255	219		6140	148705		11940
12	267	232		6050	171888		14030
13	366	321		6340	134720		4560
14	315	276		6050	139836		8380
15	274	237		6040	176547	690	18220
16	266	231		5190	167015		13340
17	247	215		4260	169057		11780
18	324	285		3860	171307		5240
19	340	299		3780	161209	510	7440
20	259	226		3590	181748		12210
21	215	188		3450	139513		14020
22	212	183		3550	173879	650	22710
23	217	189		3280	200140	50	21820
24	228	199		3410	155749	100	18200
25	231	202		3330	201963	130	19290
26	222	194		3320	173012	180	18990
27	259	226		3240	121218	60	6190
28	252	220		3260	142198	20	7790
29	271	236		3430	176717		10820
30	233	204		3060	188302	10	24060
31	218	193		3170	147573	10	22680
TOTAL	7892	6831	0	151810	5276355	11270	548240
June-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	221	194		3200	149521	120	14650
2	262	228		3410	164572	100	8300
3	247	217		3050	163611	1860	8990
4	268	236		3330	117808		4640
5	285	250		3250	143329	10	8650
6	241	214		3440	147831		16140
7	190	167		3030	147308		23900
8	180	157		3170	151742	300	41750
9	179	153		3110	174985	20	41510
10	172	146		3060	120647		39380
11	176	150		2810	94713		28670
12	183	158		2550	83657		23400
13	186	161		2690	111856		23910
14	186	160		2360	65551	20	22880
15	193	168		2170	85126	10	17060
16	235	206		2180	143346		12000
17	220	194		2210	92949		14050
18	192	168		2030	117408		18730
19	35	159	1017	2550	113916		29100
20		145	1207	2650	118087		29640
21	114	160	479	2630	86857		25700
22	182	158		2380	109350		28270
23	177	152		2520	98925		29632
24	153	133		2350	70557	10	28950
25	160	139		2130	76820	10	26710
26	174	151		1920	61780	30	25920
27	179	157		2080	90215	10	22870
28	178	157		1980	66466	10	20880
29	182	175		2170	107572	10	24050
30	172	153		2166	93401	20	21360
31							
TOTAL	5522	5166	2703	78576	3369906	2540	681692
July-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	152	130		2000	33843		34060
2	146	125		2010	55935		27010
3	170	143		2110	76304		29910
4	156	134		1910	67393		30040
5	66	132	629	2130	104569		34070
6		129	894	2600	80081		32880
7	69	137	484	2450	114254		32670
8	151	130		2160	88199	20	40220
9	99	94		1480	96837	1250	26240
10	130	126	27	1600	129961	10	35200
11	159	138		1420			33510
12	164	141		2110		40	33130
13	159	137		2300	658		39980
14	162	140		2270	94806		37030
15	158	137		2350	113154		30120
16	158	135		1330	105647		30840
17	167	146		1290	108089	20	26820
18	208	182		1440	104815		12350
19	186	163		1270	115342		18470
20	174	151		1340	111622	10	22160
21	181	159		1320	108485	10	21340
22	170	150		1110	101272		20130
23	163	142		1180	114138		22450
24	161	139		1530	144824		28050
25	156	135		1060	144854		32490
26	160	138		1370	113807		28950
27	166	143		1420	152408		34220
28	157	135		1290	119263	210	26040
29	153	133		2140	104027	240	29480
30	156	137		2560	99872	300	31740
31	159	136		2520	166068	40	35920
TOTAL	4616	4297	2034	55070	2970527	2150	917520
August-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	155	132		2410	113461	10	36350
2	169	144		2460	122285		28630
3	176	152		2440	133921	20	28810
4	170	146		2540	211874	10	32110
5	158	136		2470	151456	20	29260
6	161	137		2140	94639	10	28670
7	170	145		2790	144417	110	41250
8	176	150		2460	113651	70	38620
9	189	167		2510	118553	20	34390
10	156	130		2060	113357	60	30930
11	85	80		1040	139113	30	30070
12					55908	10	25770
13					76265		22730
14					12		26900
15							23250
16							12400
17				550	50680	20	14960
18	134	122		1510	52299	10	16810
19	171	145		730	30447		18690
20	169	146		1370	67662		18650
21	192	166		1820	101178	10	22450
22	187	159		1900	123714	10	26590
23	186	160		1800	37082	20	28130
24	206	176		1810	18870		29090
25	163	138		2010	110561		35060
26	176	152		1920	120316		28920
27	177	151		1760	47131		25840
28	183	157		1590	119810		29700
29	214	184		1900	59719		22900
30	175	149		1500	260		32330
31	174	149		2700			33950
TOTAL	4272	3673	0	50190	2528641	440	854210
September-00							
							
DAY	GAS	STEAM	OIL	MAKE-UP	DOMESTIC WATER	LOOP	TOWER
1	204	176		570			19670
2	187	160		2470			23630
3	193	165		2550			20770
4	214	184		1740			13500
5	251	217		1740			17850
6	227	196		1680			20000
7	207	179		1480			22230
8	233	200		1560			22810
9	193	165		1590			29800
10	206	181		1620			29030
11	207	179		1570			26440
12	246	212		1670		30	19190
13	221	189		1680			24100
14	241	209		1610		10	16620
15	293	253		2680			11310
16	252	217		2280			20120
17	233	198		2140			23210
18	219	185		2100		40	33650
19	217	202		1970			19410
20	337	291		2600			9810
21	374	322		3140			10240
22	402	346		5510			9480
23	391	340		4350			7800
24	458	401		3910			8790
25	327	306		4910			10780
26	341	277		4130			16930
27	366	299		3690		10	12130
28	329	267		3000			18780
29	286	233		2000			27240
30	256	206		1430			22900
31							
TOTAL	8111	6955	0	73370	0	90	568220
October-00							
							
