Day	Month	Year	DomWater	MakeUpWater	LoopWater	TowerWater	Remainder
1 	 8 	 1996 	 72734 	 980 	 30 	 24550 	 47174
2 	 8 	 1996 	 102124 	 930 	 0 	 29670 	 71524
3 	 8 	 1996 	 107024 	 2251 	 0 	 28340 	 76433
4 	 8 	 1996 	 30596 	 1150 	 0 	 26780 	 2666
5 	 8 	 1996 	 104490 	 710 	 0 	 27620 	 76160
6 	 8 	 1996 	 62430 	 670 	 20 	 31350 	 30390
7 	 8 	 1996 	 62117 	 850 	 0 	 28800 	 32467
8 	 8 	 1996 	 78120 	 1000 	 0 	 16570 	 60550
9 	 8 	 1996 	 33240 	 1000 	 0 	 17810 	 14430
10 	 8 	 1996 	 0 	 960 	 0 	 16800 	 0
16 	 8 	 1996 	 164977 	 2790 	 0 	 1440 	 160747
17 	 8 	 1996 	 64720 	 1440 	 0 	 200 	 63080
18 	 8 	 1996 	 53621 	 1580 	 0 	 100 	 51941
19 	 8 	 1996 	 90727 	 1370 	 0 	 80 	 89277
20 	 8 	 1996 	 71939 	 860 	 0 	 12910 	 58169
21 	 8 	 1996 	 93922 	 850 	 0 	 30810 	 62262
22 	 8 	 1996 	 107193 	 860 	 0 	 24980 	 81353
23 	 8 	 1996 	 98081 	 900 	 0 	 20870 	 76311
24 	 8 	 1996 	 83629 	 1000 	 0 	 17420 	 65209
25 	 8 	 1996 	 71180 	 1420 	 0 	 21260 	 48500
26 	 8 	 1996 	 107735 	 3390 	 0 	 17790 	 86555
27 	 8 	 1996 	 64595 	 1600 	 0 	 16750 	 46245
28 	 8 	 1996 	 76472 	 820 	 0 	 17550 	 58102
29 	 8 	 1996 	 101170 	 1540 	 0 	 18310 	 81320
30 	 8 	 1996 	 110277 	 930 	 0 	 18310 	 91037
31 	 8 	 1996 	 56640 	 940 	 0 	 17280 	 38420
1 	 9 	 1996 	 75708 	 950 	 0 	 16960 	 57798
2 	 9 	 1996 	 32505 	 940 	 0 	 29840 	 1725
3 	 9 	 1996 	 123177 	 900 	 0 	 25910 	 96367
4 	 9 	 1996 	 92344 	 960 	 0 	 22010 	 69374
5 	 9 	 1996 	 151800 	 930 	 0 	 23550 	 127320
6 	 9 	 1996 	 141980 	 2040 	 0 	 20990 	 118950
7 	 9 	 1996 	 113250 	 2710 	 0 	 17060 	 93480
8 	 9 	 1996 	 130800 	 1950 	 0 	 12170 	 116680
9 	 9 	 1996 	 148580 	 1240 	 0 	 16700 	 130640
10 	 9 	 1996 	 199360 	 950 	 0 	 18440 	 179970
11 	 9 	 1996 	 173010 	 970 	 0 	 13650 	 158390
12 	 9 	 1996 	 171704 	 940 	 40 	 12870 	 157854
13 	 9 	 1996 	 154609 	 2020 	 0 	 11800 	 140789
14 	 9 	 1996 	 174937 	 1960 	 0 	 10430 	 162547
15 	 9 	 1996 	 140411 	 1830 	 0 	 10630 	 127951
16 	 9 	 1996 	 176779 	 1840 	 0 	 12470 	 162469
17 	 9 	 1996 	 199338 	 2010 	 0 	 14210 	 183118
18 	 9 	 1996 	 205732 	 2200 	 0 	 15040 	 188492
19 	 9 	 1996 	 171131 	 1900 	 0 	 9850 	 159381
20 	 9 	 1996 	 174763 	 1760 	 0 	 10750 	 162253
21 	 9 	 1996 	 186585 	 2160 	 0 	 11170 	 173255
22 	 9 	 1996 	 130164 	 1680 	 0 	 10640 	 117844
23 	 9 	 1996 	 186479 	 1120 	 0 	 13910 	 171449
24 	 9 	 1996 	 215126 	 6380 	 40 	 13860 	 194846
25 	 9 	 1996 	 180475 	 2700 	 0 	 2870 	 174905
26 	 9 	 1996 	 189937 	 2670 	 0 	 11920 	 175347
27 	 9 	 1996 	 165403 	 3300 	 0 	 12630 	 149473
28 	 9 	 1996 	 180975 	 2780 	 0 	 11730 	 166465
29 	 9 	 1996 	 126868 	 3750 	 0 	 10480 	 112638
30 	 9 	 1996 	 203871 	 5920 	 0 	 12030 	 185921
1 	 10 	 1996 	 177654 	 4200 	 0 	 12970 	 160484
2 	 10 	 1996 	 282828 	 4610 	 0 	 14870 	 263348
3 	 10 	 1996 	 158450 	 3500 	 0 	 9660 	 145290
4 	 10 	 1996 	 171910 	 2980 	 30 	 8950 	 159950
5 	 10 	 1996 	 220540 	 2790 	 50 	 12790 	 204910
6 	 10 	 1996 	 296350 	 2650 	 0 	 10300 	 283400
