Steam Plant							
Production Log Sheet							
Jan-97							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	468	401	0	1750	15180	0	0
2	446	378	0	1730	40447	0	0
3	451	384	0	1770	59510	0	0
4	470	398	0	2130	37962	0	0
5	638	542	0	2560	46556	0	0
6	377	310	2787	4760	138580	0	0
7	261	209	3318	5250	204097	0	0
8	595	513	92	3680	139323	70	0
9	613	504	0	3730	170863	0	0
10	314	270	3141	6590	143887	0	0
11			5965	7880	141466	0	0
12			6023	8900	149514	0	0
13			5795	9050	158511	0	0
14	423	328	2798	7310	171400	0	0
15	336	288	2686	5400	148402	0	0
16			6311	5720	157902	0	0
17			6641	5940	165911	0	0
18	385	320	2902	4020	145582	0	0
19	598	511	0	2220	136345	0	0
20	604	527	0	2620	161508	0	0
21	526	452	0	1960	155766	0	0
22	619	537	0	2540	151714	0	0
23	647	563	0	2560	164470	0	0
24	287	250	2575	3640	171170	0	0
25			5757	5050	147549	0	0
26			5861	4650	97687	0	0
27			5805	5000	155770	0	0
28			6321	5220	183810	0	0
29	1		5688	5340	139600	0	0
30	227	381	2139	3080	164321	0	0
31	546	472		2870	156398	0	0
TOTAL	9832	8538	82605	134920	4221201	70	0
Feb-97							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	533	465	0	2520	127436	0	0
2	538	471	0	1950	138898	0	0
3	606	532	0	2360	153358	0	0
4	575	504	0	2460	166581	0	0
5	561	493	0	2380	179170	0	0
6	587	516	0	2680	124578	0	0
7	561	492	0	2230	161832	0	0
8	586	515	0	2270	141402	0	0
9	600	526	0	2160	132259	0	0
10	574	504	0	3600	121805	0	0
11	663	579	0	3710	148312	0	0
12	713	621	0	3150	153534	0	0
13	664	580	0	2760	157360	0	0
14	630	549	0	2840	161475	0	0
15	641	563	0	2680	127156	0	0
16	637	561	0	2760	155348	0	0
17	530	438	0	2220	179943	0	0
18	480	412	0	2210	166712	0	0
19	549	478	0	2690	172099	0	0
20	475	410	0	2090	151230	0	0
21	523	453	0	2480	146560	0	0
22	558	485	0	2270	143156	0	0
23	645	528	0	2440	154230	0	0
24	694	609	0	2990	161870	0	0
25	566	490	0	3000	145780	0	0
26	528	460	0	3460	158170	0	0
27	535	461	0	2570	154890	0	0
28	512	445	0	2310	172951	0	0
29							
30							
31							
TOTAL	16264	14140	0	73240	4258095	0	0
Mar-97							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	497	432	0	1950	121189	0	0
2	554	484	0	2050	145117	0	0
3	522	456	0	220	160332	0	0
4	560	489	0	2280	166244	0	0
5	633	557	0	2750	148032	0	0
6	665	587	0	2510	163952	0	0
7	634	555	0	3030	173767	0	0
8	540	473	0	2400	100561	0	0
9	469	411	0	1880	150045	0	0
10	466	407	0	2240	153180	0	0
11	469	438	0	2970	174616	0	0
12	512	485	0	2720	149537	290	0
13	558	526	0	2510	145189	0	0
14	648	574	0	2890	151450	0	0
15	680	606	0	2710	147494	0	0
16	555	489	0	3390	119831	0	0
17	506	444	0	2360	167270	0	0
18	507	460	0	2610	137028	80	0
19	490	462	0	2120	133234	0	0
20	402	372	0	2110	84160	0	0
21	377	345	0	1820	10990	0	0
22	377	347	0	1590	13893	0	0
23	407	381	0	1810	50560	0	0
24	436	400	0	1630	13160	0	0
25	427	396	0	1390	38140	0	0
26	359	329	0	1540	65970	0	0
27	302	270	0	1170	10902	0	0
28	342	303	0	2230	38863	0	0
29	337	302	0	1720	17736	0	0
30	390	356	0	1640	67998	0	0
31	415	378	0	2560	140137	0	0
TOTAL	15036	13514	0	66800	3360577	370	0
Apr-97							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	329	292	0	2090	143987	0	0
2	335	299	0	1730	152667	0	0
3	351	313	0	1690	157034	0	0
4	309	266	0	1740	153437	0	0
5	301	258	0	1380	134263	0	0
6	475	430	0	2150	137812	0	0
7	592	550	0	2660	153702	0	0
8	589	551	0	2620	175185	0	0
9	526	491	0	2640	145622	0	0
10	500	466	0	2290	159688	0	0
11	489	454	0	2468	178567	0	0
12	456	420	0	2480	150516	0	0
13	447	410	0	2190	107903	0	0
14	411	375	0	2100	188111	0	0
15	416	377	0	2730	141984	0	0
16	473	435	0	2450	175865	0	0
17	420	382	0	2280	161150	0	0
18	394	353	0	1560	163470	0	0
19	339	297	0	1080	139010	0	0
20	323	279	0	1770	145140	0	0
21	650	306	0	1030	184851	0	0
22	368	324	0	1660	151570	0	0
23	378	335	0	1730	156600	0	0
24	371	328	0	1610	222330	0	0
25	339	297	0	1760	159204	0	810
26	307	262	0	1310	146929	0	0
27	322	274	0	1290	140167	0	0
28	312	266	0	1040	194465	130	0
29	310	255	0	1050	155820	1290	5710
30	435	381	0	1460	167511	0	8240
31							
TOTAL	12267	10726	0	56038	4744560	1420	14760
May-97							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	369	316	0	1380	179981	0	8130
2	379	336	0	1200	154652	30	4030
3	340	308	0	710	152531	450	3970
4	308	275	0	790	144816	80	5500
5	283	250	0	450	157896	0	5010
6	266	244	0	1330	166399	0	7150
7	297	273	0	800	170526	0	4260
8	357	318	0	800	180948	0	4890
9	333	299	0	760	167948	690	7910
10	251	239	0	510	185347	70	17710
11	283	269	0	260	156548	0	7180
12	381	339	0	2150	154352	0	5930
13	414	374	0	2840	166090	0	5120
14	411	371	0	2130	182812	0	5150
15	414	376	0	1840	163600	50	5500
16	304	279	0	1160	188140	0	17660
17	214	212	0	370	190420	0	18420
18	143	189	0	220	137430	0	16170
19	320	286	0	4020	199800	0	5590
20	332	286	0	3080	165050	0	7500
21	271	247	0	2480	169932	60	12720
22	227	193	0	1760	174918	0	15100
23	208	197	0	1260	191014	30	11840
24	226	194	0	1300	144541	0	6200
25	225	195	0	950	119132	0	6050
26	267	230	0	1850	170186	0	8050
27	239	208	0	1490	183050	0	8430
28	297	254	0	2430	162504	0	6770
29	333	289	0	2930	180310	0	5940
30	243	212	0	1540	173464	90	11380
31	131	169		1410	181391	0	12690
TOTAL	9066	8227	0	46200	5215728	1550	267950
Jun-97							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	184	158	0	2040	144548	0	14530
2	183	158	0	1670	187557	40	23490
3	179	156	0	1440	223112	180	25370
4	174	151	0	1970	166511	0	25180
5	183	157	0	1590	193769	0	22440
6	196	168	0	1350	170975	0	18240
7	187	161	0	1020	157228	0	18820
8	185	158	0	1060	161818	0	21350
9	196	170	0	1210	166286	0	26930
10	191	164	0	1460	197399	0	29470
11	184	157	0	1020	185037	0	25830
12	177	154	0	1590	145180	90	27420
13	172	155	0	1710	111014	50	30200
14	158	147	0	1120	105730	0	27280
15	134	132	0	1020	58590	70	29210
16	140	137	0	1010	8300	110	23130
17	149	143	0	1250	67420	0	23860
18	147	142	0	1330	89000	0	20720
19	139	138	0	1030	74884	0	22510
20	146	137	0	920	148143	0	25980
21	162	145	0	910	165365	0	28890
22	152	135	0	1060	149903	20	27390
23	138	122	0	1730	164560	0	35710
24	132	113	0	2530	88689	0	31550
25	146	126	0	2230	154457	0	30620
26	156	135	0	2420	79442	0	31230
27	154	132	0	2760	113395	0	30585
28	138	120	0	1890	55067	0	24320
29	142	125	0	1560	82225	0	22610
30	139	122	0	2010	75043	0	28700
31							
TOTAL	4863	4318	0	45910	3890647	560	773565
Jul-97							
Day	Gas	Steam	Oil	Make-up	Domestic Water	Loop	Tower
1	140	122	0	1970	91267	0	33350
2	167	145	0	1870	72423	0	22000
3	180	158	0	1730	89767	0	17820
4	161	160	0	1740	48161	0	19570
5	180	140	0	1580	36961	0	20760
6	177	154	0	1980	67548	0	19960
7	181	158	0	1940	72418	0	14510
8	181	158	0	2140	79305	0	12550
9	169	146	0	1500	50283	0	17000
10	151	130	0	1490	106528	0	21470
