STEAM PLANT PRODUCTION							
January-02							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	693	534	0	"3,030"	"38,153"	230	0
2	913	706	0	"4,090"	"106,511"	250	0
3	772	567	0	"4,590"	"144,676"	250	0
4	687	494	0	"4,850"	"144,540"	250	0
5	607	434	0	"4,240"	"119,491"	260	0
6	697	529	0	"5,630"	"117,902"	220	0
7	748	577	0	"6,040"	"171,799"	290	0
8	569	394	0	"4,360"	"161,073"	250	0
9	508	326	0	"3,570"	"142,414"	230	0
10	584	404	0	"4,370"	"172,613"	200	0
11	553	383	0	"4,270"	"161,122"	190	0
12	552	375	0	"4,220"	"143,858"	190	0
13	549	375	0	"4,760"	"146,446"	200	0
14	623	450	0	"4,660"	"159,641"	220	0
15	648	485	0	"4,950"	"156,612"	240	0
16	723	551	0	"5,660"	"164,941"	150	0
17	738	575	0	"6,380"	"164,278"	190	0
18	838	664	0	"7,480"	"193,029"	200	0
19	660	500	0	"5,610"	"145,096"	200	0
20	627	462	0	"5,090"	"125,900"	220	0
21	620	452	0	"4,990"	"168,856"	210	0
22	535	358	0	"3,930"	"175,111"	230	0
23	610	440	0	"4,270"	"148,372"	230	0
24	658	490	0	"4,120"	"186,094"	230	0
25	534	362	0	"3,400"	"137,906"	240	0
26	492	317	0	"2,760"	"185,338"	240	0
27	503	322	0	"2,680"	"176,458"	250	0
28	659	494	0	"3,860"	"192,325"	260	0	
29	690	528	0	"3,710"	"144,429"	270	0	
30	712	549	0	"3,650"	"163,523"	280	0	
31	655	492	0	"4,170"	"144,338"	270	0	
TOTAL	"19,957"	"14,589"	0	"139,390"	"4,702,845"	"7,140"	0	
February-02								
								
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	
1	702	540	0	"4,300"	"168,861"	270	0	
2	638	480	0	"3,700"	"131,751"	280	0	
3	672	513	0	"3,780"	"140,733"	300	0	
4	796	634	0	"4,400"	"164,477"	280	0	
5	717	553	0	"3,940"	"186,724"	290	0	
6	597	433	0	"3,320"	"139,616"	290	0
7	565	388	0	"3,140"	"175,055"	330	0
8	510	336	0	"2,820"	"151,953"	290	0
9	485	320	0	"2,210"	"157,943"	300	0
10	582	415	0	"3,300"	"137,419"	320	0
11	579	394	0	"3,440"	"204,374"	310	0
12	599	437	0	"4,030"	"143,256"	320	0
13	575	411	0	"5,020"	"164,293"	300	0
14	507	349	0	"3,680"	"144,029"	290	0
15	514	368	0	"3,590"	"198,318"	290	
16	489	342	0	"3,510"	"108,186"	350	0
17	515	375	0	"3,600"	"148,794"	330	0
18	483	333	0	"3,030"	"182,736"	300	0
19	485	325	0	"2,620"	"137,915"	310	0
20	563	416	0	"3,350"	"167,393"	330	0
21	599	467	0	"4,030"	"156,977"	330	0
22	578	446	0	"3,530"	"156,405"	270	0
23	458	302	0	"2,330"	"132,140"	390	0
24	527	380	0	"2,360"	"152,093"	330	0
25	682	541	0	"4,110"	"182,515"	340	0
26	767	593	0	"3,820"	"142,512"	340	0
27	779	578	0	"5,940"	"167,327"	340	0
28	721	548	0	"5,250"	"161,295"	350	0
							
							
							
TOTAL	"16,684"	"12,217"	0	"102,150"	"4,405,090"	"8,770"	0
March-02							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	796	642	0	"4,540"	"148,844"	330	0
2	763	578	0	"3,250"	"161,010"	330	0
3	856	658	0	"4,090"	"134,183"	340	0
4	803	627	0	"4,950"	"178,126"	330	0
5	713	549	0	"3,900"	"152,107"	340	0
6	674	516	0	"3,740"	"162,879"	330	0
7	717	542	0	"4,110"	"183,533"	360	0
8	576	426	0	"2,090"	"139,780"	310	0
9	675	516	0	"3,070"	"149,964"	320	0
10	723	571	0	"2,870"	"136,198"	380	0
11	637	481	0	"3,280"	"177,152"	300	0
12	555	448	0	"3,400"	"147,593"	380	0
13	531	313	0	"2,690"	"173,865"	290	0
14	579	455	0	"2,370"	"161,692"	310	0
15	581	509	0	"3,070"	"167,329"	340	0
16	537	473	0	"2,870"	"121,689"	350	0
17	434	385	0	"1,960"	"82,990"	340	0
18	445	392	0	"1,740"	"65,362"	340	0
19	453	400	0	"1,610"	"83,021"	350	
20	494	438	0	"2,100"	"61,638"	350	
21	456	568	"1,027"	"3,470"	"62,698"	340	0
22	329	538	"1,890"	"3,200"	"80,271"	330	
23	488	431	0	"2,080"	"71,366"	350	0
24	453	400	0	"4,140"	"72,102"	410	0
25	579	504	0	"2,760"	"42,194"	290	0
26	490	449	0	"3,440"	"50,504"	280	0
27	413	350	0	"2,170"	"23,762"	320	0
28	388	322	0	"1,820"	"52,123"	280	0
29	384	329	0	"1,920"	"56,580"	280	0
30	378	330	0	"1,220"	"33,391"	320	0
31	453	412	0	"1,590"	"112,950"	340	0
TOTAL	"17,353"	"14,552"	"2,917"	"89,510"	"3,446,896"	"10,260"	0
April-02							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	565	530	0	"2,390"	"142,381"	350	0
2	537	503	0	"2,300"	"149,080"	360	0
3	573	547	0	"3,140"	"150,225"	340	0
4	554	524	0	"3,450"	"131,991"	390	0
5	506	479	0	"2,740"	"139,269"	370	0
6	465	435	0	"2,540"	"157,444"	280	0
7	371	328	0	"1,450"	"101,109"	340	0
8	410	381	0	"1,840"	"164,061"	280	0
9	420	392	0	"2,810"	"148,046"	230	0
10	344	301	0	"1,300"	"160,585"	350	0
11	392	346	0	"1,460"	"153,658"	930	0
12	374	326	0	"1,340"	"140,963"	250	0
13	333	288	0	"1,120"	"141,093"	210	0
14	281	233	0	950	"141,993"	230	0
15	535	440	0	"1,040"	"251,562"	"2,490"	0
16	246	199	0	"1,070"	"336,018"	710	0
17	289	242	0	"1,350"	"216,618"	140	0
18	256	210	0	"1,700"	"200,243"	140	"19,890"
19	382	333	0	"2,950"	"152,106"	140	"6,650"
20	392	345	0	"2,370"	"137,922"	110	"6,300"
21	448	410	0	"1,820"	"159,857"	90	"6,460"
22	479	440	0	"2,050"	"177,714"	90	"6,380"
23	378	334	0	"1,330"	"151,531"	130	"12,020"
24	410	372	0	"1,830"	"168,947"	130	"4,540"
25	492	453	0	"7,600"	"168,394"	120	"3,750"
26	453	413	0	"3,240"	"169,478"	100	"3,830"
27	463	420	0	"2,510"	"156,062"	100	"3,120"
28	455	418	0	"1,970"	"125,346"	110	"2,500"
29	388	345	0	"2,040"	"163,283"	120	"8,210"
30	370	324	0	"1,890"	"159,317"	120	"8,980"
TOTAL	"12,561"	"11,311"	0	"65,590"	"4,916,296"	"9,750"	"92,630"
May-02							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	411	367	0	"2,360"	"171,444"	120	"4,990"
2	444	411	0	"2,980"	"155,589"	140	"5,740"
3	384	347	0	"2,500"	"163,313"	150	"10,040"
4	337	295	0	"1,560"	"191,588"	190	"8,980"
5	331	288	0	"1,420"	"152,349"	150	"4,410"
6	339	295	0	"1,080"	"150,061"	370	"5,420"
7	388	354	0	"1,480"	"139,856"	270	"4,440"
8	362	319	0	960	"160,625"	330	"4,960"
9	440	402	0	"3,270"	"157,806"	330	"4,890"
10	369	332	0	"2,510"	"171,354"	360	"8,780"
11	391	347	0	"1,260"	"131,707"	380	"4,600"
12	402	358	0	"1,370"	"142,047"	380	"4,000"
13	357	314	0	"1,370"	"188,757"	350	"9,660"
14	340	296	0	"1,700"	"145,819"	370	"10,690"
15	321	243	0	"1,330"	"161,246"	420	"22,280"
16	335	294	0	"2,260"	"166,609"	300	"10,030"
17	402	355	0	"3,000"	"204,172"	200	"6,060"
18	366	325	0	"2,870"	"94,851"	100	"5,880"
19	366	325	0	"2,480"	"131,542"	160	"5,900"
20	404	357	0	"2,990"	"201,971"	140	"8,200"
21	332	292	0	"2,730"	"174,363"	140	"14,460"
22	286	252	0	"1,540"	"153,593"	170	"20,360"
23	282	247	0	"1,230"	"190,400"	130	"15,000"
24	343	304	0	"2,460"	"143,198"	130	"7,690"
25	297	262	0	"1,610"	"150,338"	140	"8,950"
26	257	224	0	"1,230"	"162,109"	150	"15,610"
27	251	220	0	"1,150"	"158,434"	180	"22,550"
28	234	205	0	"1,180"	"192,095"	180	"23,430"
29	218	190	0	"1,160"	"188,372"	190	"31,660"
30	209	181	0	"1,110"	"239,836"	170	"39,550"
31	199	174	0	"1,087"	"213,210"	220	"38,560"
TOTAL	"10,397"	"9,175"	0	"57,237"	"5,148,654"	"7,010"	"387,770"
June-02							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	202	175	0	"1,140"	"156,518"	150	"35,430"
2	214	188	0	900	"160,019"	140	"22,380"
3	281	248	0	900	"181,144"	200	"14,730"
4	306	276	0	"1,000"	"144,200"	210	"6,140"
5	257	225	0	940	"177,466"	250	"21,230"
6	229	201	0	"1,020"	"173,109"	200	"25,390"
7	214	187	0	970	"196,669"	180	"37,240"
8	202	177	0	"1,030"	"157,035"	180	"29,280"
9	185	163	0	920	"136,899"	160	"35,840"
10	189	164	0	880	"159,518"	140	"44,040"
11	189	164	0	"2,000"	"141,153"	160	"34,380"
12	194	168	0	"2,160"	"120,971"	170	"25,890"
13	202	176	0	"2,030"	"108,218"	160	"22,960"
14	197	173	0	"1,360"	"108,829"	160	"22,700"
15	184	160	0	790	"130,127"	120	"16,000"
16	169	149	0	830	"57,558"	110	"17,900"
17	172	151	0	860	"64,443"	110	"20,990"
18	172	149	0	890	"92,393"	140	"29,850"
19	170	148	0	"1,250"	"89,271"	90	"30,860"
20	189	164	0	"1,050"	"102,466"	110	"27,260"
21	195	172	0	"1,090"	"127,932"	210	"22,420"
22	187	163	0	"1,180"	"180,979"	70	"35,690"
