BuildingName	StreetAddress	City	State	Country	ZIP	YearBuilt
216 College St. (Reynolds)	216 College St.	Northfield	MN	USA	55057	1894
605 Three Oaks Drive (Art Studios) 	605 Three Oaks Drive	Northfield	MN	USA	55057	2010
Alumni Guest House/Johnson House	100 College St. So.	Northfield	MN	USA	55057	1992
Arboretum Office 	710 Three Oaks Drive	Northfield	MN	USA	55057	1989
Weitz Center for Creativity	320 Third Street   	Northfield	MN	USA	55057	1910
Bird House	400 E. 1st St.	Northfield	MN	USA	55057	1920
Boliou Memorial Art Bldg.	510 Lyman Drive/509 Goodsell Circle	Northfield	MN	USA	55057	1950
Center for Mathematics and Computing	505 Goodsell Circle	Northfield	MN	USA	55057	1993
Facilities Building/ Steam Plant	301 Union St. N./ 300 Division St. N.	Northfield	MN	USA	55057	1910
Goodsell Observatory	301 Goodsell Circle	Northfield	MN	USA	55057	1888
Gould Memorial Library	405 Gould Lane	Northfield	MN	USA	55057	1956
Henrickson House	205 E. 2nd St.	Northfield	MN	USA	55057	1900
Henry House	107 Union St.	Northfield	MN	USA	55057	1915
Hoppin House (Alumni)	100 Winona &420 E. 1st St.	Northfield	MN	USA	55057	1885
Hulings Hall	208 Winona St. No.	Northfield	MN	USA	55057	1995
Laird Hall	301 Winona St. No.	Northfield	MN	USA	55057	1921
Language & Dining Center	206 Maple St. No.	Northfield	MN	USA	55057	2001
Leighton Hall	302 College St. No.	Northfield	MN	USA	55057	1921
Mudd Hall of Science	200 Nevada St. No.	Northfield	MN	USA	55057	1975
Music and Drama Center	109 Nevada St. No./110 Winona St. No.	Northfield	MN	USA	55057	1971
Music Hall	214 Winona St. No.	Northfield	MN	USA	55057	1915
Olin Hall of Science	215 Goodsell Circle	Northfield	MN	USA	55057	1961
Sayles-Hill Campus Center	209 College St. No.	Northfield	MN	USA	55057	1911
Scoville Hall	105 College St. No.	Northfield	MN	USA	55057	1897
Strong House	118 College St.	Northfield	MN	USA	55057	1900
Willis Memorial Hall	201 College St. No.	Northfield	MN	USA	55057	1872
Laird Stadium	215 Division St. No.	Northfield	MN	USA	55057	1928
Recreation Center	705 Three Oaks Drive	Northfield	MN	USA	55057	2000
West Gymnasium	321 Division St. No.	Northfield	MN	USA	55057	1965
208 Union (Christensen)	208 Union St. 	Northfield	MN	USA	55057	1941
210 Winona St. (Holmquist)	210 Winona St.	Northfield	MN	USA	55057	1917
Allen House	111 N. Division St.	Northfield	MN	USA	55057	1922
Benton House	118 Winona St.	Northfield	MN	USA	55057	1889
Berg House	112 Union St.	Northfield	MN	USA	55057	1950
Brooks House	101 So. Division St.	Northfield	MN	USA	55057	2001
Burton Hall	117 College St. No.	Northfield	MN	USA	55057	1916
Cassat Hall	139 N. Maple St.	Northfield	MN	USA	55057	2009
Chaney House	115 Maple & 701 E. 2nd St.	Northfield	MN	USA	55057	1900
Clader House	209 E. 2nd St.	Northfield	MN	USA	55057	1900
Collier House	105 S. Division St.	Northfield	MN	USA	55057	2001
Colwell House	111 S. Division St.	Northfield	MN	USA	55057	2001
Dacie Moses House	110 Union St.	Northfield	MN	USA	55057	1900
Davis Hall	104 Union St. No.	Northfield	MN	USA	55057	1923
Dixon House	107 S. Division St.	Northfield	MN	USA	55057	2001
Douglas House	401 E. 3rd St.	Northfield	MN	USA	55057	1950
Dow House	109 S. Division St.	Northfield	MN	USA	55057	1935
Eugster House	110 N. Division St.	Northfield	MN	USA	55057	2001
Evans Hall	715 Evans Drive	Northfield	MN	USA	55057	1927
Faculty Club 	717 - 721 2nd St. East	Northfield	MN	USA	55057	1900
Faculty Club Annex	715 2nd St. East	Northfield	MN	USA	55057	1926
Farm House	R.R. # 2 (E. Highway #19)	Northfield	MN	USA	55057	1919
Geffert House	112 S. Division St.	Northfield	MN	USA	55057	1920
Goodhue Hall	706 Three Oaks Drive	Northfield	MN	USA	55057	1963
Hall House	210-212 E. 1st St.	Northfield	MN	USA	55057	1920
Headley Cottage	810 E. 2nd St.	Northfield	MN	USA	55057	1900
Headley House	815 E. 2nd St.	Northfield	MN	USA	55057	1900
Hill House	205 College St.	Northfield	MN	USA	55057	1900
Hilton House	116 S. Division St.	Northfield	MN	USA	55057	1900
Hunt Cottage	106 Union St.	Northfield	MN	USA	55057	1900
Hunt House	201 2nd St.	Northfield	MN	USA	55057	2001
Huntington House	119 College St.	Northfield	MN	USA	55057	1900
Jewett House	216 Union St.	Northfield	MN	USA	55057	1900
Jones House	314 E. 2nd St.	Northfield	MN	USA	55057	1920
Memorial Hall	140 N. Nevada St.	Northfield	MN	USA	55057	2009
Musser Hall	103 Union St.	Northfield	MN	USA	55057	1958
Myers Hall	200 Maple St. No.	Northfield	MN	USA	55057	1958
Nason House	209 First St.	Northfield	MN	USA	55057	2001
Nourse Hall	110 Nourse Lane	Northfield	MN	USA	55057	1917
Nutting House	217 Union St.	Northfield	MN	USA	55057	1890
Olin House	7950 Stanton Blvd.	Northfield	MN	USA	55057	1900
Owens House	103 So. Division St.	Northfield	MN	USA	55057	2001
Page House	218 College St.	Northfield	MN	USA	55057	1920
Parish House	419 E. 3rd St.	Northfield	MN	USA	55057	1914
Parr House	700 Three Oaks Drive	Northfield	MN	USA	55057	1919
Pollock House	110 Winona St.	Northfield	MN	USA	55057	1920
Prentice House	107 N. Division St.	Northfield	MN	USA	55057	1921
Rayment House	510 E. 4th St.	Northfield	MN	USA	55057	1900
Rice House	208 College St.	Northfield	MN	USA	55057	1920
Rogers House	805 E. 2nd St.	Northfield	MN	USA	55057	1900
Ryberg House	304 E. 2nd St.	Northfield	MN	USA	55057	1952
Scott House	106 N. Division St.	Northfield	MN	USA	55057	2001
Seccombe House	111-113 Nevada St.	Northfield	MN	USA	55057	1900
Severance Hall	205 College St. No.	Northfield	MN	USA	55057	1928
Sperry House	107-109 Nevada St.	Northfield	MN	USA	55057	1900
Stimson House	300 E. 1st St.	Northfield	MN	USA	55057	1938
Watson Hall	103 Maple St. So.	Northfield	MN	USA	55057	1967
Whittier House	514 E. 2nd St.	Northfield	MN	USA	55057	1910
Williams House	109 Union St.	Northfield	MN	USA	55057	1917
Wilson House	115 N. Division St.	Northfield	MN	USA	55057	1928
Grounds Building	715 Three Oaks Drive	Northfield	MN	USA	55057	1998
College Warehouse	609 Three Oaks Drive	Northfield	MN	USA	55057	1999
College Storage Garage	711 Three Oaks Drive	Northfield	MN	USA	55057	2002
Prairie Warehouse	514 Prairie St.	Northfield	MN	USA	55057	1950
Stawbale Warehouse	615 Three Oaks Drive	Northfield	MN	USA	55057	2005
106 Winona St. (Barbour)	106 Winona St.	Northfield	MN	USA	55057	1902
212 East 2nd St.	212 East 2nd St.	Northfield	MN	USA	55057	1947
Cowling Recreation Center	714 Evans Drive	Northfield	MN	USA	55057	1966
Skinner Memorial Chapel	405 First St. E.	Northfield	MN	USA	55057	1917
Campus	1 N. College St.	Northfield	MN	USA	55057	1866
Student Houses	1 N. College St.	Northfield	MN	USA	55057	1866
